"GEO_ID","NAME","B19001_001E","B19001_001M","B19001_001MA","B19001_001EA","B19001_002E","B19001_002EA","B19001_002M","B19001_002MA","B19001_003E","B19001_003EA","B19001_003M","B19001_003MA","B19001_004E","B19001_004M","B19001_004MA","B19001_004EA","B19001_005E","B19001_005EA","B19001_005M","B19001_005MA","B19001_006E","B19001_006EA","B19001_006M","B19001_006MA","B19001_007E","B19001_007EA","B19001_007M","B19001_007MA","B19001_008E","B19001_008EA","B19001_008M","B19001_008MA","B19001_009E","B19001_009M","B19001_009MA","B19001_009EA","B19001_010E","B19001_010M","B19001_010MA","B19001_010EA","B19001_011E","B19001_011EA","B19001_011M","B19001_011MA","B19001_012E","B19001_012M","B19001_012MA","B19001_012EA","B19001_013E","B19001_013M","B19001_013MA","B19001_013EA","B19001_014E","B19001_014EA","B19001_014M","B19001_014MA","B19001_015E","B19001_015M","B19001_015MA","B19001_015EA","B19001_016E","B19001_016EA","B19001_016M","B19001_016MA","B19001_017E","B19001_017EA","B19001_017M","B19001_017MA",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Annotation of Estimate!!Total","Estimate!!Total!!Less than $10,000","Annotation of Estimate!!Total!!Less than $10,000","Margin of Error!!Total!!Less than $10,000","Annotation of Margin of Error!!Total!!Less than $10,000","Estimate!!Total!!$10,000 to $14,999","Annotation of Estimate!!Total!!$10,000 to $14,999","Margin of Error!!Total!!$10,000 to $14,999","Annotation of Margin of Error!!Total!!$10,000 to $14,999","Estimate!!Total!!$15,000 to $19,999","Margin of Error!!Total!!$15,000 to $19,999","Annotation of Margin of Error!!Total!!$15,000 to $19,999","Annotation of Estimate!!Total!!$15,000 to $19,999","Estimate!!Total!!$20,000 to $24,999","Annotation of Estimate!!Total!!$20,000 to $24,999","Margin of Error!!Total!!$20,000 to $24,999","Annotation of Margin of Error!!Total!!$20,000 to $24,999","Estimate!!Total!!$25,000 to $29,999","Annotation of Estimate!!Total!!$25,000 to $29,999","Margin of Error!!Total!!$25,000 to $29,999","Annotation of Margin of Error!!Total!!$25,000 to $29,999","Estimate!!Total!!$30,000 to $34,999","Annotation of Estimate!!Total!!$30,000 to $34,999","Margin of Error!!Total!!$30,000 to $34,999","Annotation of Margin of Error!!Total!!$30,000 to $34,999","Estimate!!Total!!$35,000 to $39,999","Annotation of Estimate!!Total!!$35,000 to $39,999","Margin of Error!!Total!!$35,000 to $39,999","Annotation of Margin of Error!!Total!!$35,000 to $39,999","Estimate!!Total!!$40,000 to $44,999","Margin of Error!!Total!!$40,000 to $44,999","Annotation of Margin of Error!!Total!!$40,000 to $44,999","Annotation of Estimate!!Total!!$40,000 to $44,999","Estimate!!Total!!$45,000 to $49,999","Margin of Error!!Total!!$45,000 to $49,999","Annotation of Margin of Error!!Total!!$45,000 to $49,999","Annotation of Estimate!!Total!!$45,000 to $49,999","Estimate!!Total!!$50,000 to $59,999","Annotation of Estimate!!Total!!$50,000 to $59,999","Margin of Error!!Total!!$50,000 to $59,999","Annotation of Margin of Error!!Total!!$50,000 to $59,999","Estimate!!Total!!$60,000 to $74,999","Margin of Error!!Total!!$60,000 to $74,999","Annotation of Margin of Error!!Total!!$60,000 to $74,999","Annotation of Estimate!!Total!!$60,000 to $74,999","Estimate!!Total!!$75,000 to $99,999","Margin of Error!!Total!!$75,000 to $99,999","Annotation of Margin of Error!!Total!!$75,000 to $99,999","Annotation of Estimate!!Total!!$75,000 to $99,999","Estimate!!Total!!$100,000 to $124,999","Annotation of Estimate!!Total!!$100,000 to $124,999","Margin of Error!!Total!!$100,000 to $124,999","Annotation of Margin of Error!!Total!!$100,000 to $124,999","Estimate!!Total!!$125,000 to $149,999","Margin of Error!!Total!!$125,000 to $149,999","Annotation of Margin of Error!!Total!!$125,000 to $149,999","Annotation of Estimate!!Total!!$125,000 to $149,999","Estimate!!Total!!$150,000 to $199,999","Annotation of Estimate!!Total!!$150,000 to $199,999","Margin of Error!!Total!!$150,000 to $199,999","Annotation of Margin of Error!!Total!!$150,000 to $199,999","Estimate!!Total!!$200,000 or more","Annotation of Estimate!!Total!!$200,000 or more","Margin of Error!!Total!!$200,000 or more","Annotation of Margin of Error!!Total!!$200,000 or more",
"1500000US530330001001","Block Group 1, Census Tract 1, King County, Washington","562","116","null","null","70","null","79","null","15","null","22","null","0","12","null","null","16","null","24","null","13","null","20","null","0","null","12","null","36","null","43","null","12","18","null","null","0","12","null","null","0","null","12","null","26","30","null","null","88","87","null","null","83","null","55","null","65","47","null","null","89","null","61","null","49","null","41","null",
"1500000US530330001002","Block Group 2, Census Tract 1, King County, Washington","614","156","null","null","178","null","102","null","53","null","38","null","34","54","null","null","0","null","12","null","12","null","21","null","11","null","17","null","40","null","49","null","52","66","null","null","16","26","null","null","29","null","33","null","15","22","null","null","55","46","null","null","77","null","76","null","26","29","null","null","0","null","12","null","16","null","27","null",
"1500000US530330001003","Block Group 3, Census Tract 1, King County, Washington","662","106","null","null","97","null","42","null","14","null","24","null","36","43","null","null","34","null","36","null","12","null","19","null","0","null","12","null","0","null","12","null","20","22","null","null","10","16","null","null","98","null","75","null","75","58","null","null","121","82","null","null","34","null","41","null","24","39","null","null","51","null","51","null","36","null","56","null",
"1500000US530330001004","Block Group 4, Census Tract 1, King County, Washington","823","178","null","null","127","null","79","null","53","null","78","null","57","70","null","null","217","null","101","null","78","null","73","null","9","null","16","null","34","null","34","null","27","24","null","null","93","86","null","null","71","null","65","null","15","23","null","null","27","31","null","null","0","null","12","null","15","24","null","null","0","null","12","null","0","null","12","null",
"1500000US530330001005","Block Group 5, Census Tract 1, King County, Washington","519","118","null","null","77","null","52","null","51","null","38","null","27","30","null","null","23","null","28","null","56","null","70","null","28","null","32","null","26","null","28","null","12","20","null","null","52","75","null","null","0","null","12","null","33","38","null","null","81","73","null","null","0","null","12","null","0","12","null","null","33","null","38","null","20","null","33","null",
"1500000US530330002001","Block Group 1, Census Tract 2, King County, Washington","393","73","null","null","16","null","25","null","0","null","12","null","14","23","null","null","0","null","12","null","0","null","12","null","12","null","21","null","14","null","22","null","18","29","null","null","0","12","null","null","0","null","12","null","73","47","null","null","95","57","null","null","61","null","43","null","34","31","null","null","56","null","45","null","0","null","12","null",
"1500000US530330002002","Block Group 2, Census Tract 2, King County, Washington","496","160","null","null","181","null","154","null","30","null","34","null","20","31","null","null","0","null","12","null","0","null","12","null","38","null","45","null","0","null","12","null","0","12","null","null","15","25","null","null","35","null","40","null","53","47","null","null","27","32","null","null","69","null","56","null","28","33","null","null","0","null","12","null","0","null","12","null",
"1500000US530330002003","Block Group 3, Census Tract 2, King County, Washington","861","140","null","null","64","null","51","null","22","null","38","null","16","26","null","null","40","null","47","null","148","null","106","null","49","null","40","null","46","null","51","null","88","71","null","null","18","29","null","null","164","null","97","null","26","44","null","null","24","38","null","null","68","null","86","null","34","33","null","null","23","null","27","null","31","null","35","null",
"1500000US530330002004","Block Group 4, Census Tract 2, King County, Washington","560","95","null","null","13","null","22","null","13","null","22","null","65","49","null","null","17","null","26","null","12","null","20","null","32","null","38","null","55","null","67","null","37","41","null","null","25","30","null","null","121","null","92","null","56","38","null","null","37","42","null","null","33","null","39","null","12","19","null","null","32","null","35","null","0","null","12","null",
