"GEO_ID","NAME","B19001_001E","B19001_001EA","B19001_001M","B19001_001MA","B19001_002E","B19001_002EA","B19001_002M","B19001_002MA","B19001_003E","B19001_003EA","B19001_003M","B19001_003MA","B19001_004E","B19001_004EA","B19001_004M","B19001_004MA","B19001_005E","B19001_005EA","B19001_005M","B19001_005MA","B19001_006E","B19001_006EA","B19001_006M","B19001_006MA","B19001_007E","B19001_007EA","B19001_007M","B19001_007MA","B19001_008E","B19001_008EA","B19001_008M","B19001_008MA","B19001_009E","B19001_009EA","B19001_009M","B19001_009MA","B19001_010E","B19001_010M","B19001_010MA","B19001_010EA","B19001_011E","B19001_011M","B19001_011MA","B19001_011EA","B19001_012E","B19001_012EA","B19001_012M","B19001_012MA","B19001_013E","B19001_013M","B19001_013MA","B19001_013EA","B19001_014E","B19001_014EA","B19001_014M","B19001_014MA","B19001_015E","B19001_015M","B19001_015MA","B19001_015EA","B19001_016E","B19001_016EA","B19001_016M","B19001_016MA","B19001_017E","B19001_017EA","B19001_017M","B19001_017MA",
"Geography","Geographic Area Name","Estimate!!Total","Annotation of Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Estimate!!Total!!Less than $10,000","Annotation of Estimate!!Total!!Less than $10,000","Margin of Error!!Total!!Less than $10,000","Annotation of Margin of Error!!Total!!Less than $10,000","Estimate!!Total!!$10,000 to $14,999","Annotation of Estimate!!Total!!$10,000 to $14,999","Margin of Error!!Total!!$10,000 to $14,999","Annotation of Margin of Error!!Total!!$10,000 to $14,999","Estimate!!Total!!$15,000 to $19,999","Annotation of Estimate!!Total!!$15,000 to $19,999","Margin of Error!!Total!!$15,000 to $19,999","Annotation of Margin of Error!!Total!!$15,000 to $19,999","Estimate!!Total!!$20,000 to $24,999","Annotation of Estimate!!Total!!$20,000 to $24,999","Margin of Error!!Total!!$20,000 to $24,999","Annotation of Margin of Error!!Total!!$20,000 to $24,999","Estimate!!Total!!$25,000 to $29,999","Annotation of Estimate!!Total!!$25,000 to $29,999","Margin of Error!!Total!!$25,000 to $29,999","Annotation of Margin of Error!!Total!!$25,000 to $29,999","Estimate!!Total!!$30,000 to $34,999","Annotation of Estimate!!Total!!$30,000 to $34,999","Margin of Error!!Total!!$30,000 to $34,999","Annotation of Margin of Error!!Total!!$30,000 to $34,999","Estimate!!Total!!$35,000 to $39,999","Annotation of Estimate!!Total!!$35,000 to $39,999","Margin of Error!!Total!!$35,000 to $39,999","Annotation of Margin of Error!!Total!!$35,000 to $39,999","Estimate!!Total!!$40,000 to $44,999","Annotation of Estimate!!Total!!$40,000 to $44,999","Margin of Error!!Total!!$40,000 to $44,999","Annotation of Margin of Error!!Total!!$40,000 to $44,999","Estimate!!Total!!$45,000 to $49,999","Margin of Error!!Total!!$45,000 to $49,999","Annotation of Margin of Error!!Total!!$45,000 to $49,999","Annotation of Estimate!!Total!!$45,000 to $49,999","Estimate!!Total!!$50,000 to $59,999","Margin of Error!!Total!!$50,000 to $59,999","Annotation of Margin of Error!!Total!!$50,000 to $59,999","Annotation of Estimate!!Total!!$50,000 to $59,999","Estimate!!Total!!$60,000 to $74,999","Annotation of Estimate!!Total!!$60,000 to $74,999","Margin of Error!!Total!!$60,000 to $74,999","Annotation of Margin of Error!!Total!!$60,000 to $74,999","Estimate!!Total!!$75,000 to $99,999","Margin of Error!!Total!!$75,000 to $99,999","Annotation of Margin of Error!!Total!!$75,000 to $99,999","Annotation of Estimate!!Total!!$75,000 to $99,999","Estimate!!Total!!$100,000 to $124,999","Annotation of Estimate!!Total!!$100,000 to $124,999","Margin of Error!!Total!!$100,000 to $124,999","Annotation of Margin of Error!!Total!!$100,000 to $124,999","Estimate!!Total!!$125,000 to $149,999","Margin of Error!!Total!!$125,000 to $149,999","Annotation of Margin of Error!!Total!!$125,000 to $149,999","Annotation of Estimate!!Total!!$125,000 to $149,999","Estimate!!Total!!$150,000 to $199,999","Annotation of Estimate!!Total!!$150,000 to $199,999","Margin of Error!!Total!!$150,000 to $199,999","Annotation of Margin of Error!!Total!!$150,000 to $199,999","Estimate!!Total!!$200,000 or more","Annotation of Estimate!!Total!!$200,000 or more","Margin of Error!!Total!!$200,000 or more","Annotation of Margin of Error!!Total!!$200,000 or more",
"1500000US530330001001","Block Group 1, Census Tract 1, King County, Washington","623","null","123","null","74","null","87","null","0","null","12","null","0","null","12","null","22","null","33","null","13","null","20","null","0","null","12","null","35","null","41","null","12","null","18","null","0","12","null","null","0","12","null","null","26","null","36","null","80","79","null","null","75","null","54","null","58","49","null","null","117","null","68","null","111","null","64","null",
"1500000US530330001002","Block Group 2, Census Tract 1, King County, Washington","632","null","136","null","121","null","77","null","64","null","51","null","53","null","63","null","19","null","30","null","15","null","23","null","24","null","27","null","31","null","37","null","53","null","68","null","20","33","null","null","45","41","null","null","18","null","30","null","52","66","null","null","65","null","65","null","33","32","null","null","0","null","12","null","19","null","30","null",
"1500000US530330001003","Block Group 3, Census Tract 1, King County, Washington","684","null","111","null","124","null","57","null","33","null","37","null","56","null","52","null","27","null","32","null","15","null","24","null","0","null","12","null","0","null","12","null","24","null","28","null","18","22","null","null","61","60","null","null","52","null","44","null","92","67","null","null","33","null","38","null","18","27","null","null","69","null","43","null","62","null","62","null",
"1500000US530330001004","Block Group 4, Census Tract 1, King County, Washington","832","null","151","null","110","null","84","null","33","null","50","null","59","null","74","null","184","null","103","null","48","null","36","null","11","null","18","null","64","null","73","null","22","null","19","null","77","82","null","null","104","70","null","null","13","null","21","null","51","48","null","null","56","null","74","null","0","12","null","null","0","null","12","null","0","null","12","null",
"1500000US530330001005","Block Group 5, Census Tract 1, King County, Washington","629","null","120","null","88","null","52","null","54","null","44","null","15","null","24","null","93","null","71","null","44","null","71","null","17","null","27","null","29","null","35","null","15","null","27","null","64","82","null","null","0","12","null","null","37","null","37","null","117","102","null","null","0","null","12","null","13","22","null","null","27","null","30","null","16","null","25","null",
"1500000US530330002001","Block Group 1, Census Tract 2, King County, Washington","439","null","77","null","19","null","30","null","0","null","12","null","0","null","12","null","0","null","12","null","0","null","12","null","15","null","23","null","14","null","22","null","18","null","28","null","17","27","null","null","16","24","null","null","119","null","69","null","108","52","null","null","29","null","32","null","51","35","null","null","33","null","35","null","0","null","12","null",
"1500000US530330002002","Block Group 2, Census Tract 2, King County, Washington","534","null","171","null","158","null","155","null","30","null","35","null","18","null","27","null","0","null","12","null","0","null","12","null","18","null","29","null","0","null","12","null","19","null","28","null","43","36","null","null","22","34","null","null","98","null","60","null","10","19","null","null","94","null","57","null","24","32","null","null","0","null","12","null","0","null","12","null",
"1500000US530330002003","Block Group 3, Census Tract 2, King County, Washington","893","null","144","null","66","null","53","null","20","null","31","null","0","null","12","null","40","null","44","null","160","null","108","null","34","null","38","null","44","null","50","null","127","null","82","null","18","28","null","null","161","100","null","null","16","null","26","null","24","38","null","null","95","null","89","null","27","33","null","null","48","null","44","null","13","null","21","null",
"1500000US530330002004","Block Group 4, Census Tract 2, King County, Washington","504","null","105","null","33","null","38","null","0","null","12","null","68","null","46","null","18","null","28","null","31","null","37","null","17","null","26","null","15","null","23","null","36","null","44","null","11","19","null","null","109","90","null","null","73","null","54","null","51","52","null","null","11","null","18","null","0","12","null","null","31","null","33","null","0","null","12","null",
