"GEO_ID","NAME","B19001_001E","B19001_001M","B19001_001MA","B19001_001EA","B19001_002E","B19001_002M","B19001_002MA","B19001_002EA","B19001_003E","B19001_003EA","B19001_003M","B19001_003MA","B19001_004E","B19001_004M","B19001_004MA","B19001_004EA","B19001_005E","B19001_005EA","B19001_005M","B19001_005MA","B19001_006E","B19001_006EA","B19001_006M","B19001_006MA","B19001_007E","B19001_007M","B19001_007MA","B19001_007EA","B19001_008E","B19001_008M","B19001_008MA","B19001_008EA","B19001_009E","B19001_009M","B19001_009MA","B19001_009EA","B19001_010E","B19001_010EA","B19001_010M","B19001_010MA","B19001_011E","B19001_011EA","B19001_011M","B19001_011MA","B19001_012E","B19001_012M","B19001_012MA","B19001_012EA","B19001_013E","B19001_013M","B19001_013MA","B19001_013EA","B19001_014E","B19001_014M","B19001_014MA","B19001_014EA","B19001_015E","B19001_015EA","B19001_015M","B19001_015MA","B19001_016E","B19001_016EA","B19001_016M","B19001_016MA","B19001_017E","B19001_017EA","B19001_017M","B19001_017MA",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Annotation of Estimate!!Total","Estimate!!Total!!Less than $10,000","Margin of Error!!Total!!Less than $10,000","Annotation of Margin of Error!!Total!!Less than $10,000","Annotation of Estimate!!Total!!Less than $10,000","Estimate!!Total!!$10,000 to $14,999","Annotation of Estimate!!Total!!$10,000 to $14,999","Margin of Error!!Total!!$10,000 to $14,999","Annotation of Margin of Error!!Total!!$10,000 to $14,999","Estimate!!Total!!$15,000 to $19,999","Margin of Error!!Total!!$15,000 to $19,999","Annotation of Margin of Error!!Total!!$15,000 to $19,999","Annotation of Estimate!!Total!!$15,000 to $19,999","Estimate!!Total!!$20,000 to $24,999","Annotation of Estimate!!Total!!$20,000 to $24,999","Margin of Error!!Total!!$20,000 to $24,999","Annotation of Margin of Error!!Total!!$20,000 to $24,999","Estimate!!Total!!$25,000 to $29,999","Annotation of Estimate!!Total!!$25,000 to $29,999","Margin of Error!!Total!!$25,000 to $29,999","Annotation of Margin of Error!!Total!!$25,000 to $29,999","Estimate!!Total!!$30,000 to $34,999","Margin of Error!!Total!!$30,000 to $34,999","Annotation of Margin of Error!!Total!!$30,000 to $34,999","Annotation of Estimate!!Total!!$30,000 to $34,999","Estimate!!Total!!$35,000 to $39,999","Margin of Error!!Total!!$35,000 to $39,999","Annotation of Margin of Error!!Total!!$35,000 to $39,999","Annotation of Estimate!!Total!!$35,000 to $39,999","Estimate!!Total!!$40,000 to $44,999","Margin of Error!!Total!!$40,000 to $44,999","Annotation of Margin of Error!!Total!!$40,000 to $44,999","Annotation of Estimate!!Total!!$40,000 to $44,999","Estimate!!Total!!$45,000 to $49,999","Annotation of Estimate!!Total!!$45,000 to $49,999","Margin of Error!!Total!!$45,000 to $49,999","Annotation of Margin of Error!!Total!!$45,000 to $49,999","Estimate!!Total!!$50,000 to $59,999","Annotation of Estimate!!Total!!$50,000 to $59,999","Margin of Error!!Total!!$50,000 to $59,999","Annotation of Margin of Error!!Total!!$50,000 to $59,999","Estimate!!Total!!$60,000 to $74,999","Margin of Error!!Total!!$60,000 to $74,999","Annotation of Margin of Error!!Total!!$60,000 to $74,999","Annotation of Estimate!!Total!!$60,000 to $74,999","Estimate!!Total!!$75,000 to $99,999","Margin of Error!!Total!!$75,000 to $99,999","Annotation of Margin of Error!!Total!!$75,000 to $99,999","Annotation of Estimate!!Total!!$75,000 to $99,999","Estimate!!Total!!$100,000 to $124,999","Margin of Error!!Total!!$100,000 to $124,999","Annotation of Margin of Error!!Total!!$100,000 to $124,999","Annotation of Estimate!!Total!!$100,000 to $124,999","Estimate!!Total!!$125,000 to $149,999","Annotation of Estimate!!Total!!$125,000 to $149,999","Margin of Error!!Total!!$125,000 to $149,999","Annotation of Margin of Error!!Total!!$125,000 to $149,999","Estimate!!Total!!$150,000 to $199,999","Annotation of Estimate!!Total!!$150,000 to $199,999","Margin of Error!!Total!!$150,000 to $199,999","Annotation of Margin of Error!!Total!!$150,000 to $199,999","Estimate!!Total!!$200,000 or more","Annotation of Estimate!!Total!!$200,000 or more","Margin of Error!!Total!!$200,000 or more","Annotation of Margin of Error!!Total!!$200,000 or more",
"1500000US530330001001","Block Group 1, Census Tract 1, King County, Washington","629","95","null","null","72","82","null","null","0","null","12","null","0","12","null","null","19","null","29","null","28","null","33","null","0","12","null","null","14","23","null","null","11","18","null","null","0","null","12","null","0","null","12","null","54","41","null","null","80","81","null","null","63","51","null","null","40","null","38","null","107","null","61","null","141","null","78","null",
"1500000US530330001002","Block Group 2, Census Tract 1, King County, Washington","760","139","null","null","142","86","null","null","88","null","58","null","19","31","null","null","18","null","25","null","16","null","26","null","13","20","null","null","75","80","null","null","59","68","null","null","49","null","43","null","80","null","76","null","17","27","null","null","70","62","null","null","66","67","null","null","29","null","31","null","0","null","12","null","19","null","31","null",
"1500000US530330001003","Block Group 3, Census Tract 1, King County, Washington","684","110","null","null","81","53","null","null","48","null","43","null","64","57","null","null","49","null","63","null","0","null","12","null","0","12","null","null","0","12","null","null","0","12","null","null","11","null","20","null","19","null","28","null","76","50","null","null","100","71","null","null","76","53","null","null","16","null","26","null","75","null","47","null","69","null","66","null",
"1500000US530330001004","Block Group 4, Census Tract 1, King County, Washington","928","160","null","null","132","88","null","null","13","null","22","null","82","84","null","null","153","null","94","null","32","null","40","null","26","31","null","null","103","93","null","null","9","14","null","null","73","null","79","null","101","null","72","null","36","34","null","null","98","60","null","null","70","74","null","null","0","null","12","null","0","null","12","null","0","null","12","null",
"1500000US530330001005","Block Group 5, Census Tract 1, King County, Washington","546","111","null","null","54","34","null","null","36","null","34","null","27","31","null","null","102","null","72","null","53","null","70","null","28","31","null","null","28","33","null","null","15","24","null","null","13","null","19","null","13","null","20","null","25","29","null","null","69","71","null","null","12","18","null","null","14","null","25","null","41","null","39","null","16","null","24","null",
"1500000US530330002001","Block Group 1, Census Tract 2, King County, Washington","471","93","null","null","0","12","null","null","0","null","12","null","0","12","null","null","0","null","12","null","0","null","12","null","11","18","null","null","0","12","null","null","32","36","null","null","27","null","31","null","20","null","31","null","75","54","null","null","110","54","null","null","105","86","null","null","27","null","30","null","64","null","54","null","0","null","12","null",
"1500000US530330002002","Block Group 2, Census Tract 2, King County, Washington","468","142","null","null","89","109","null","null","27","null","33","null","14","22","null","null","0","null","12","null","18","null","29","null","0","12","null","null","0","12","null","null","24","35","null","null","26","null","33","null","48","null","44","null","104","65","null","null","16","28","null","null","86","57","null","null","16","null","26","null","0","null","12","null","0","null","12","null",
"1500000US530330002003","Block Group 3, Census Tract 2, King County, Washington","835","130","null","null","68","58","null","null","18","null","28","null","0","12","null","null","43","null","49","null","168","null","106","null","17","28","null","null","58","55","null","null","107","74","null","null","0","null","12","null","204","null","110","null","14","23","null","null","23","38","null","null","27","31","null","null","37","null","33","null","39","null","42","null","12","null","20","null",
"1500000US530330002004","Block Group 4, Census Tract 2, King County, Washington","541","95","null","null","21","33","null","null","0","null","12","null","62","49","null","null","39","null","32","null","17","null","28","null","15","23","null","null","0","12","null","null","36","38","null","null","0","null","12","null","131","null","93","null","106","70","null","null","57","56","null","null","0","12","null","null","0","null","12","null","57","null","47","null","0","null","12","null",
