"GEO_ID","NAME","B19001_001E","B19001_001M","B19001_001MA","B19001_001EA","B19001_002E","B19001_002EA","B19001_002M","B19001_002MA","B19001_003E","B19001_003EA","B19001_003M","B19001_003MA","B19001_004E","B19001_004M","B19001_004MA","B19001_004EA","B19001_005E","B19001_005M","B19001_005MA","B19001_005EA","B19001_006E","B19001_006M","B19001_006MA","B19001_006EA","B19001_007E","B19001_007EA","B19001_007M","B19001_007MA","B19001_008E","B19001_008EA","B19001_008M","B19001_008MA","B19001_009E","B19001_009M","B19001_009MA","B19001_009EA","B19001_010E","B19001_010M","B19001_010MA","B19001_010EA","B19001_011E","B19001_011EA","B19001_011M","B19001_011MA","B19001_012E","B19001_012EA","B19001_012M","B19001_012MA","B19001_013E","B19001_013EA","B19001_013M","B19001_013MA","B19001_014E","B19001_014M","B19001_014MA","B19001_014EA","B19001_015E","B19001_015M","B19001_015MA","B19001_015EA","B19001_016E","B19001_016EA","B19001_016M","B19001_016MA","B19001_017E","B19001_017EA","B19001_017M","B19001_017MA",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Annotation of Estimate!!Total","Estimate!!Total!!Less than $10,000","Annotation of Estimate!!Total!!Less than $10,000","Margin of Error!!Total!!Less than $10,000","Annotation of Margin of Error!!Total!!Less than $10,000","Estimate!!Total!!$10,000 to $14,999","Annotation of Estimate!!Total!!$10,000 to $14,999","Margin of Error!!Total!!$10,000 to $14,999","Annotation of Margin of Error!!Total!!$10,000 to $14,999","Estimate!!Total!!$15,000 to $19,999","Margin of Error!!Total!!$15,000 to $19,999","Annotation of Margin of Error!!Total!!$15,000 to $19,999","Annotation of Estimate!!Total!!$15,000 to $19,999","Estimate!!Total!!$20,000 to $24,999","Margin of Error!!Total!!$20,000 to $24,999","Annotation of Margin of Error!!Total!!$20,000 to $24,999","Annotation of Estimate!!Total!!$20,000 to $24,999","Estimate!!Total!!$25,000 to $29,999","Margin of Error!!Total!!$25,000 to $29,999","Annotation of Margin of Error!!Total!!$25,000 to $29,999","Annotation of Estimate!!Total!!$25,000 to $29,999","Estimate!!Total!!$30,000 to $34,999","Annotation of Estimate!!Total!!$30,000 to $34,999","Margin of Error!!Total!!$30,000 to $34,999","Annotation of Margin of Error!!Total!!$30,000 to $34,999","Estimate!!Total!!$35,000 to $39,999","Annotation of Estimate!!Total!!$35,000 to $39,999","Margin of Error!!Total!!$35,000 to $39,999","Annotation of Margin of Error!!Total!!$35,000 to $39,999","Estimate!!Total!!$40,000 to $44,999","Margin of Error!!Total!!$40,000 to $44,999","Annotation of Margin of Error!!Total!!$40,000 to $44,999","Annotation of Estimate!!Total!!$40,000 to $44,999","Estimate!!Total!!$45,000 to $49,999","Margin of Error!!Total!!$45,000 to $49,999","Annotation of Margin of Error!!Total!!$45,000 to $49,999","Annotation of Estimate!!Total!!$45,000 to $49,999","Estimate!!Total!!$50,000 to $59,999","Annotation of Estimate!!Total!!$50,000 to $59,999","Margin of Error!!Total!!$50,000 to $59,999","Annotation of Margin of Error!!Total!!$50,000 to $59,999","Estimate!!Total!!$60,000 to $74,999","Annotation of Estimate!!Total!!$60,000 to $74,999","Margin of Error!!Total!!$60,000 to $74,999","Annotation of Margin of Error!!Total!!$60,000 to $74,999","Estimate!!Total!!$75,000 to $99,999","Annotation of Estimate!!Total!!$75,000 to $99,999","Margin of Error!!Total!!$75,000 to $99,999","Annotation of Margin of Error!!Total!!$75,000 to $99,999","Estimate!!Total!!$100,000 to $124,999","Margin of Error!!Total!!$100,000 to $124,999","Annotation of Margin of Error!!Total!!$100,000 to $124,999","Annotation of Estimate!!Total!!$100,000 to $124,999","Estimate!!Total!!$125,000 to $149,999","Margin of Error!!Total!!$125,000 to $149,999","Annotation of Margin of Error!!Total!!$125,000 to $149,999","Annotation of Estimate!!Total!!$125,000 to $149,999","Estimate!!Total!!$150,000 to $199,999","Annotation of Estimate!!Total!!$150,000 to $199,999","Margin of Error!!Total!!$150,000 to $199,999","Annotation of Margin of Error!!Total!!$150,000 to $199,999","Estimate!!Total!!$200,000 or more","Annotation of Estimate!!Total!!$200,000 or more","Margin of Error!!Total!!$200,000 or more","Annotation of Margin of Error!!Total!!$200,000 or more",
"1500000US530330001001","Block Group 1, Census Tract 1, King County, Washington","608","101","null","null","78","null","88","null","0","null","12","null","0","12","null","null","15","24","null","null","15","23","null","null","0","null","12","null","15","null","25","null","0","12","null","null","0","12","null","null","10","null","16","null","30","null","34","null","93","null","83","null","63","50","null","null","13","21","null","null","93","null","62","null","183","null","70","null",
"1500000US530330001002","Block Group 2, Census Tract 1, King County, Washington","758","151","null","null","67","null","55","null","75","null","54","null","19","30","null","null","18","29","null","null","19","30","null","null","14","null","22","null","79","null","91","null","63","74","null","null","51","49","null","null","97","null","79","null","39","null","36","null","100","null","67","null","67","68","null","null","28","24","null","null","6","null","13","null","16","null","26","null",
"1500000US530330001003","Block Group 3, Census Tract 1, King County, Washington","724","121","null","null","98","null","59","null","67","null","47","null","62","72","null","null","41","68","null","null","11","19","null","null","0","null","12","null","0","null","12","null","0","12","null","null","30","32","null","null","36","null","38","null","79","null","44","null","94","null","81","null","84","58","null","null","17","28","null","null","69","null","56","null","36","null","40","null",
"1500000US530330001004","Block Group 4, Census Tract 1, King County, Washington","1052","147","null","null","148","null","94","null","45","null","41","null","106","93","null","null","130","98","null","null","54","61","null","null","34","null","39","null","140","null","113","null","10","16","null","null","12","21","null","null","122","null","91","null","41","null","39","null","117","null","67","null","78","86","null","null","15","25","null","null","0","null","12","null","0","null","12","null",
"1500000US530330001005","Block Group 5, Census Tract 1, King County, Washington","637","116","null","null","37","null","28","null","43","null","42","null","43","40","null","null","75","69","null","null","80","80","null","null","27","null","29","null","27","null","31","null","27","29","null","null","13","21","null","null","57","null","40","null","58","null","74","null","57","null","71","null","14","21","null","null","18","29","null","null","46","null","42","null","15","null","25","null",
"1500000US530330002001","Block Group 1, Census Tract 2, King County, Washington","545","119","null","null","0","null","12","null","0","null","12","null","0","12","null","null","0","12","null","null","0","12","null","null","0","null","12","null","11","null","17","null","16","25","null","null","29","35","null","null","94","null","85","null","62","null","42","null","125","null","60","null","132","100","null","null","29","34","null","null","47","null","39","null","0","null","12","null",
"1500000US530330002002","Block Group 2, Census Tract 2, King County, Washington","444","88","null","null","41","null","44","null","28","null","32","null","17","26","null","null","0","12","null","null","0","12","null","null","17","null","28","null","0","null","12","null","25","38","null","null","17","28","null","null","81","null","59","null","99","null","56","null","33","null","37","null","71","52","null","null","15","26","null","null","0","null","12","null","0","null","12","null",
"1500000US530330002003","Block Group 3, Census Tract 2, King County, Washington","860","126","null","null","67","null","57","null","17","null","27","null","19","29","null","null","39","46","null","null","115","78","null","null","0","null","12","null","58","null","44","null","78","60","null","null","46","67","null","null","188","null","102","null","56","null","53","null","44","null","48","null","27","30","null","null","73","52","null","null","12","null","17","null","21","null","34","null",
"1500000US530330002004","Block Group 4, Census Tract 2, King County, Washington","558","114","null","null","18","null","31","null","0","null","12","null","44","42","null","null","57","44","null","null","16","25","null","null","0","null","12","null","16","null","25","null","0","12","null","null","17","26","null","null","114","null","93","null","72","null","57","null","90","null","59","null","34","38","null","null","24","27","null","null","43","null","42","null","13","null","21","null",
"1500000US530330002005","Block Group 5, Census Tract 2, King County, Washington","723","124","null","null","36","null","41","null","48","null","45","null","13","22","null","null","77","65","null","null","16","24","null","null","47","null","43","null","47","null","38","null","0","12","null","null","0","12","null","null","16","null","25","null","84","null","58","null","102","null","86","null","108","86","null","null","26","30","null","null","72","null","59","null","31","null","38","null",
"1500000US530330002006","Block Group 6, Census Tract 2, King County, Washington","524","81","null","null","17","null","30","null","0","null","12","null","13","20","null","null","0","12","null","null","12","18","null","null","0","null","12","null","31","null","36","null","0","12","null","null","0","12","null","null","20","null","31","null","68","null","46","null","85","null","58","null","76","63","null","null","47","46","null","null","62","null","53","null","93","null","62","null",
"1500000US530330003001","Block Group 1, Census Tract 3, King County, Washington","487","65","null","null","0","null","12","null","35","null","52","null","0","12","null","null","0","12","null","null","25","31","null","null","12","null","16","null","11","null","16","null","21","24","null","null","19","23","null","null","41","null","36","null","18","null","22","null","80","null","47","null","49","32","null","null","51","35","null","null","61","null","50","null","64","null","36","null",
"1500000US530330003002","Block Group 2, Census Tract 3, King County, Washington","700","69","null","null","49","null","39","null","66","null","61","null","26","29","null","null","25","28","null","null","30","37","null","null","24","null","37","null","0","null","12","null","13","20","null","null","49","58","null","null","53","null","42","null","94","null","53","null","60","null","36","null","78","58","null","null","50","33","null","null","34","null","27","null","49","null","40","null",
