"GEO_ID","NAME","B19001_001E","B19001_001M","B19001_001MA","B19001_001EA","B19001_002E","B19001_002M","B19001_002MA","B19001_002EA","B19001_003E","B19001_003M","B19001_003MA","B19001_003EA","B19001_004E","B19001_004M","B19001_004MA","B19001_004EA","B19001_005E","B19001_005M","B19001_005MA","B19001_005EA","B19001_006E","B19001_006M","B19001_006MA","B19001_006EA","B19001_007E","B19001_007M","B19001_007MA","B19001_007EA","B19001_008E","B19001_008M","B19001_008MA","B19001_008EA","B19001_009E","B19001_009EA","B19001_009M","B19001_009MA","B19001_010E","B19001_010EA","B19001_010M","B19001_010MA","B19001_011E","B19001_011M","B19001_011MA","B19001_011EA","B19001_012E","B19001_012EA","B19001_012M","B19001_012MA","B19001_013E","B19001_013EA","B19001_013M","B19001_013MA","B19001_014E","B19001_014EA","B19001_014M","B19001_014MA","B19001_015E","B19001_015EA","B19001_015M","B19001_015MA","B19001_016E","B19001_016M","B19001_016MA","B19001_016EA","B19001_017E","B19001_017EA","B19001_017M","B19001_017MA",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Annotation of Estimate!!Total","Estimate!!Total!!Less than $10,000","Margin of Error!!Total!!Less than $10,000","Annotation of Margin of Error!!Total!!Less than $10,000","Annotation of Estimate!!Total!!Less than $10,000","Estimate!!Total!!$10,000 to $14,999","Margin of Error!!Total!!$10,000 to $14,999","Annotation of Margin of Error!!Total!!$10,000 to $14,999","Annotation of Estimate!!Total!!$10,000 to $14,999","Estimate!!Total!!$15,000 to $19,999","Margin of Error!!Total!!$15,000 to $19,999","Annotation of Margin of Error!!Total!!$15,000 to $19,999","Annotation of Estimate!!Total!!$15,000 to $19,999","Estimate!!Total!!$20,000 to $24,999","Margin of Error!!Total!!$20,000 to $24,999","Annotation of Margin of Error!!Total!!$20,000 to $24,999","Annotation of Estimate!!Total!!$20,000 to $24,999","Estimate!!Total!!$25,000 to $29,999","Margin of Error!!Total!!$25,000 to $29,999","Annotation of Margin of Error!!Total!!$25,000 to $29,999","Annotation of Estimate!!Total!!$25,000 to $29,999","Estimate!!Total!!$30,000 to $34,999","Margin of Error!!Total!!$30,000 to $34,999","Annotation of Margin of Error!!Total!!$30,000 to $34,999","Annotation of Estimate!!Total!!$30,000 to $34,999","Estimate!!Total!!$35,000 to $39,999","Margin of Error!!Total!!$35,000 to $39,999","Annotation of Margin of Error!!Total!!$35,000 to $39,999","Annotation of Estimate!!Total!!$35,000 to $39,999","Estimate!!Total!!$40,000 to $44,999","Annotation of Estimate!!Total!!$40,000 to $44,999","Margin of Error!!Total!!$40,000 to $44,999","Annotation of Margin of Error!!Total!!$40,000 to $44,999","Estimate!!Total!!$45,000 to $49,999","Annotation of Estimate!!Total!!$45,000 to $49,999","Margin of Error!!Total!!$45,000 to $49,999","Annotation of Margin of Error!!Total!!$45,000 to $49,999","Estimate!!Total!!$50,000 to $59,999","Margin of Error!!Total!!$50,000 to $59,999","Annotation of Margin of Error!!Total!!$50,000 to $59,999","Annotation of Estimate!!Total!!$50,000 to $59,999","Estimate!!Total!!$60,000 to $74,999","Annotation of Estimate!!Total!!$60,000 to $74,999","Margin of Error!!Total!!$60,000 to $74,999","Annotation of Margin of Error!!Total!!$60,000 to $74,999","Estimate!!Total!!$75,000 to $99,999","Annotation of Estimate!!Total!!$75,000 to $99,999","Margin of Error!!Total!!$75,000 to $99,999","Annotation of Margin of Error!!Total!!$75,000 to $99,999","Estimate!!Total!!$100,000 to $124,999","Annotation of Estimate!!Total!!$100,000 to $124,999","Margin of Error!!Total!!$100,000 to $124,999","Annotation of Margin of Error!!Total!!$100,000 to $124,999","Estimate!!Total!!$125,000 to $149,999","Annotation of Estimate!!Total!!$125,000 to $149,999","Margin of Error!!Total!!$125,000 to $149,999","Annotation of Margin of Error!!Total!!$125,000 to $149,999","Estimate!!Total!!$150,000 to $199,999","Margin of Error!!Total!!$150,000 to $199,999","Annotation of Margin of Error!!Total!!$150,000 to $199,999","Annotation of Estimate!!Total!!$150,000 to $199,999","Estimate!!Total!!$200,000 or more","Annotation of Estimate!!Total!!$200,000 or more","Margin of Error!!Total!!$200,000 or more","Annotation of Margin of Error!!Total!!$200,000 or more",
"1500000US530330001001","Block Group 1, Census Tract 1, King County, Washington","601","87","null","null","31","47","null","null","0","12","null","null","0","12","null","null","0","12","null","null","31","34","null","null","0","12","null","null","0","12","null","null","0","null","12","null","0","null","12","null","12","21","null","null","15","null","23","null","137","null","86","null","68","null","47","null","14","null","23","null","61","53","null","null","232","null","80","null",
"1500000US530330001002","Block Group 2, Census Tract 1, King County, Washington","762","156","null","null","49","46","null","null","61","46","null","null","20","31","null","null","27","29","null","null","48","47","null","null","15","24","null","null","112","118","null","null","57","null","75","null","50","null","47","null","160","99","null","null","10","null","17","null","62","null","49","null","51","null","44","null","14","null","21","null","9","15","null","null","17","null","26","null",
"1500000US530330001003","Block Group 3, Census Tract 1, King County, Washington","767","113","null","null","138","71","null","null","85","54","null","null","86","70","null","null","42","69","null","null","12","23","null","null","0","12","null","null","0","12","null","null","15","null","23","null","35","null","38","null","22","27","null","null","55","null","46","null","40","null","40","null","71","null","51","null","33","null","38","null","96","61","null","null","37","null","39","null",
"1500000US530330001004","Block Group 4, Census Tract 1, King County, Washington","1112","154","null","null","101","69","null","null","42","40","null","null","132","100","null","null","72","76","null","null","54","64","null","null","19","30","null","null","115","92","null","null","64","null","66","null","27","null","32","null","107","89","null","null","61","null","50","null","203","null","88","null","98","null","91","null","17","null","28","null","0","12","null","null","0","null","12","null",
"1500000US530330001005","Block Group 5, Census Tract 1, King County, Washington","657","113","null","null","53","37","null","null","16","24","null","null","13","20","null","null","96","77","null","null","70","50","null","null","14","23","null","null","57","45","null","null","28","null","31","null","28","null","32","null","63","44","null","null","75","null","84","null","57","null","74","null","13","null","19","null","20","null","26","null","54","50","null","null","0","null","12","null",
"1500000US530330002001","Block Group 1, Census Tract 2, King County, Washington","506","133","null","null","0","12","null","null","0","12","null","null","0","12","null","null","0","12","null","null","0","12","null","null","0","12","null","null","0","12","null","null","0","null","12","null","27","null","31","null","111","94","null","null","38","null","36","null","133","null","66","null","99","null","89","null","26","null","29","null","53","46","null","null","19","null","33","null",
"1500000US530330002002","Block Group 2, Census Tract 2, King County, Washington","500","105","null","null","39","43","null","null","15","23","null","null","0","12","null","null","0","12","null","null","0","12","null","null","16","26","null","null","0","12","null","null","20","null","32","null","69","null","60","null","68","52","null","null","141","null","79","null","50","null","50","null","48","null","48","null","0","null","12","null","21","25","null","null","13","null","21","null",
"1500000US530330002003","Block Group 3, Census Tract 2, King County, Washington","913","134","null","null","100","82","null","null","17","26","null","null","55","61","null","null","0","12","null","null","34","40","null","null","18","28","null","null","90","74","null","null","26","null","29","null","0","null","12","null","236","122","null","null","84","null","58","null","96","null","67","null","16","null","26","null","88","null","55","null","0","12","null","null","53","null","63","null",
"1500000US530330002004","Block Group 4, Census Tract 2, King County, Washington","473","90","null","null","21","34","null","null","0","12","null","null","16","25","null","null","30","37","null","null","16","26","null","null","0","12","null","null","14","23","null","null","0","null","12","null","15","null","26","null","56","55","null","null","56","null","50","null","106","null","68","null","29","null","33","null","25","null","28","null","73","51","null","null","16","null","25","null",
"1500000US530330002005","Block Group 5, Census Tract 2, King County, Washington","800","105","null","null","54","48","null","null","32","35","null","null","16","27","null","null","52","63","null","null","30","34","null","null","47","44","null","null","46","41","null","null","0","null","12","null","0","null","12","null","48","52","null","null","85","null","82","null","84","null","79","null","117","null","83","null","68","null","51","null","74","78","null","null","47","null","46","null",
"1500000US530330002006","Block Group 6, Census Tract 2, King County, Washington","501","86","null","null","17","29","null","null","0","12","null","null","12","19","null","null","0","12","null","null","15","25","null","null","0","12","null","null","13","20","null","null","29","null","33","null","27","null","44","null","0","12","null","null","64","null","52","null","72","null","54","null","70","null","61","null","56","null","47","null","58","51","null","null","68","null","53","null",
"1500000US530330003001","Block Group 1, Census Tract 3, King County, Washington","459","54","null","null","0","12","null","null","0","12","null","null","0","12","null","null","0","12","null","null","9","14","null","null","17","19","null","null","19","22","null","null","31","null","29","null","17","null","21","null","47","32","null","null","28","null","27","null","47","null","30","null","37","null","28","null","71","null","40","null","69","41","null","null","67","null","41","null",
"1500000US530330003002","Block Group 2, Census Tract 3, King County, Washington","700","81","null","null","20","22","null","null","36","41","null","null","30","29","null","null","9","16","null","null","17","27","null","null","59","64","null","null","12","19","null","null","0","null","12","null","52","null","54","null","62","45","null","null","81","null","52","null","42","null","29","null","105","null","64","null","64","null","38","null","52","33","null","null","59","null","43","null",
"1500000US530330004011","Block Group 1, Census Tract 4.01, King County, Washington","2050","208","null","null","200","109","null","null","160","121","null","null","81","72","null","null","251","96","null","null","211","125","null","null","274","134","null","null","140","85","null","null","89","null","72","null","89","null","85","null","57","53","null","null","125","null","74","null","146","null","66","null","69","null","55","null","50","null","61","null","31","54","null","null","77","null","66","null",
"1500000US530330004012","Block Group 2, Census Tract 4.01, King County, Washington","792","171","null","null","29","36","null","null","65","84","null","null","0","12","null","null","0","12","null","null","53","85","null","null","46","41","null","null","30","33","null","null","0","null","12","null","0","null","12","null","112","86","null","null","39","null","44","null","179","null","131","null","64","null","43","null","0","null","12","null","86","47","null","null","89","null","70","null",
"1500000US530330004013","Block Group 3, Census Tract 4.01, King County, Washington","1000","175","null","null","112","63","null","null","297","124","null","null","33","37","null","null","77","74","null","null","152","122","null","null","38","54","null","null","61","53","null","null","17","null","25","null","37","null","44","null","0","12","null","null","30","null","37","null","15","null","25","null","64","null","54","null","41","null","41","null","15","24","null","null","11","null","20","null",
"1500000US530330004021","Block Group 1, Census Tract 4.02, King County, Washington","535","93","null","null","14","21","null","null","21","29","null","null","47","45","null","null","65","54","null","null","26","45","null","null","26","30","null","null","30","34","null","null","33","null","33","null","27","null","32","null","68","58","null","null","24","null","27","null","89","null","80","null","13","null","21","null","0","null","12","null","36","41","null","null","16","null","24","null",
"1500000US530330004022","Block Group 2, Census Tract 4.02, King County, Washington","407","103","null","null","0","12","null","null","0","12","null","null","0","12","null","null","30","36","null","null","23","35","null","null","31","49","null","null","8","16","null","null","0","null","12","null","0","null","12","null","15","24","null","null","136","null","106","null","66","null","59","null","44","null","42","null","0","null","12","null","8","15","null","null","46","null","54","null",
"1500000US530330004023","Block Group 3, Census Tract 4.02, King County, Washington","615","115","null","null","39","62","null","null","18","30","null","null","0","12","null","null","64","79","null","null","0","12","null","null","14","24","null","null","13","21","null","null","43","null","52","null","24","null","38","null","32","34","null","null","42","null","41","null","91","null","66","null","164","null","98","null","0","null","12","null","25","30","null","null","46","null","54","null",
"1500000US530330004024","Block Group 4, Census Tract 4.02, King County, Washington","816","127","null","null","15","23","null","null","0","12","null","null","29","34","null","null","0","12","null","null","17","27","null","null","15","23","null","null","41","39","null","null","30","null","36","null","74","null","79","null","36","35","null","null","31","null","34","null","101","null","72","null","36","null","33","null","72","null","57","null","112","77","null","null","207","null","105","null",
"1500000US530330005001","Block Group 1, Census Tract 5, King County, Washington","503","49","null","null","9","14","null","null","0","12","null","null","0","12","null","null","8","12","null","null","0","12","null","null","0","12","null","null","8","14","null","null","8","null","12","null","0","null","12","null","16","18","null","null","17","null","19","null","15","null","17","null","82","null","38","null","37","null","29","null","66","39","null","null","237","null","67","null",
"1500000US530330005002","Block Group 2, Census Tract 5, King County, Washington","352","49","null","null","18","19","null","null","18","19","null","null","0","12","null","null","0","12","null","null","9","14","null","null","20","21","null","null","10","15","null","null","20","null","22","null","11","null","16","null","0","12","null","null","28","null","21","null","17","null","19","null","16","null","17","null","43","null","33","null","50","32","null","null","92","null","44","null",
"1500000US530330005003","Block Group 3, Census Tract 5, King County, Washington","413","52","null","null","9","14","null","null","9","13","null","null","9","14","null","null","20","22","null","null","13","17","null","null","22","25","null","null","11","17","null","null","0","null","12","null","0","null","12","null","21","23","null","null","21","null","21","null","42","null","40","null","29","null","27","null","40","null","29","null","56","33","null","null","111","null","42","null",
"1500000US530330006001","Block Group 1, Census Tract 6, King County, Washington","459","76","null","null","15","23","null","null","0","12","null","null","0","12","null","null","10","17","null","null","19","31","null","null","15","24","null","null","14","24","null","null","0","null","12","null","30","null","34","null","41","40","null","null","67","null","64","null","73","null","53","null","20","null","33","null","77","null","52","null","47","40","null","null","31","null","35","null",
"1500000US530330006002","Block Group 2, Census Tract 6, King County, Washington","661","141","null","null","13","22","null","null","0","12","null","null","0","12","null","null","79","72","null","null","75","66","null","null","33","39","null","null","11","18","null","null","119","null","90","null","53","null","71","null","24","38","null","null","46","null","44","null","92","null","64","null","35","null","40","null","44","null","34","null","37","43","null","null","0","null","12","null",
"1500000US530330006003","Block Group 3, Census Tract 6, King County, Washington","665","154","null","null","28","32","null","null","16","25","null","null","0","12","null","null","0","12","null","null","64","69","null","null","0","12","null","null","32","26","null","null","36","null","60","null","43","null","45","null","51","49","null","null","84","null","74","null","174","null","119","null","82","null","75","null","0","null","12","null","34","40","null","null","21","null","32","null",
"1500000US530330006004","Block Group 4, Census Tract 6, King County, Washington","707","119","null","null","12","19","null","null","29","32","null","null","72","62","null","null","0","12","null","null","0","12","null","null","22","26","null","null","56","57","null","null","66","null","75","null","15","null","26","null","113","73","null","null","78","null","54","null","85","null","76","null","22","null","33","null","28","null","34","null","96","65","null","null","13","null","22","null",
"1500000US530330006005","Block Group 5, Census Tract 6, King County, Washington","417","109","null","null","14","25","null","null","0","12","null","null","62","68","null","null","0","12","null","null","0","12","null","null","16","26","null","null","0","12","null","null","60","null","32","null","13","null","22","null","16","27","null","null","11","null","17","null","41","null","36","null","14","null","22","null","61","null","72","null","89","63","null","null","20","null","32","null",
"1500000US530330006006","Block Group 6, Census Tract 6, King County, Washington","522","114","null","null","40","39","null","null","56","75","null","null","0","12","null","null","33","38","null","null","0","12","null","null","0","12","null","null","0","12","null","null","14","null","23","null","22","null","35","null","38","43","null","null","13","null","22","null","41","null","33","null","50","null","45","null","69","null","60","null","93","89","null","null","53","null","48","null",
"1500000US530330007001","Block Group 1, Census Tract 7, King County, Washington","885","134","null","null","109","70","null","null","35","37","null","null","63","55","null","null","14","26","null","null","35","33","null","null","38","36","null","null","36","41","null","null","99","null","70","null","30","null","36","null","119","72","null","null","107","null","77","null","137","null","87","null","36","null","41","null","0","null","12","null","27","32","null","null","0","null","12","null",
"1500000US530330007002","Block Group 2, Census Tract 7, King County, Washington","559","114","null","null","12","21","null","null","0","12","null","null","26","28","null","null","31","36","null","null","19","29","null","null","26","30","null","null","62","53","null","null","68","null","67","null","45","null","42","null","0","12","null","null","29","null","34","null","15","null","23","null","111","null","93","null","0","null","12","null","42","39","null","null","73","null","51","null",
"1500000US530330007003","Block Group 3, Census Tract 7, King County, Washington","483","104","null","null","54","40","null","null","0","12","null","null","0","12","null","null","0","12","null","null","0","12","null","null","0","12","null","null","0","12","null","null","0","null","12","null","12","null","20","null","85","74","null","null","17","null","26","null","47","null","42","null","100","null","84","null","19","null","30","null","44","45","null","null","105","null","68","null",
"1500000US530330007004","Block Group 4, Census Tract 7, King County, Washington","322","88","null","null","0","12","null","null","30","32","null","null","0","12","null","null","0","12","null","null","0","12","null","null","0","12","null","null","17","26","null","null","0","null","12","null","54","null","65","null","15","24","null","null","15","null","24","null","100","null","70","null","11","null","18","null","0","null","12","null","46","44","null","null","34","null","38","null",
"1500000US530330008001","Block Group 1, Census Tract 8, King County, Washington","519","48","null","null","10","16","null","null","10","16","null","null","21","24","null","null","0","12","null","null","0","12","null","null","11","17","null","null","11","16","null","null","22","null","24","null","33","null","30","null","11","16","null","null","62","null","36","null","77","null","38","null","57","null","39","null","44","null","34","null","41","32","null","null","109","null","43","null",
"1500000US530330008002","Block Group 2, Census Tract 8, King County, Washington","597","51","null","null","32","30","null","null","0","12","null","null","29","46","null","null","10","17","null","null","0","12","null","null","12","19","null","null","10","16","null","null","11","null","17","null","21","null","18","null","0","12","null","null","42","null","34","null","86","null","49","null","62","null","37","null","78","null","41","null","67","39","null","null","137","null","56","null",
"1500000US530330009001","Block Group 1, Census Tract 9, King County, Washington","421","43","null","null","10","11","null","null","0","12","null","null","7","10","null","null","5","7","null","null","15","16","null","null","0","12","null","null","0","12","null","null","7","null","11","null","12","null","9","null","10","11","null","null","18","null","17","null","64","null","24","null","49","null","23","null","37","null","20","null","53","26","null","null","134","null","37","null",
"1500000US530330009002","Block Group 2, Census Tract 9, King County, Washington","440","50","null","null","15","17","null","null","7","10","null","null","0","12","null","null","0","12","null","null","0","12","null","null","15","15","null","null","43","26","null","null","14","null","14","null","2","null","4","null","1","5","null","null","35","null","31","null","22","null","19","null","35","null","31","null","39","null","27","null","79","27","null","null","133","null","41","null",
"1500000US530330010001","Block Group 1, Census Tract 10, King County, Washington","366","40","null","null","21","22","null","null","14","12","null","null","10","11","null","null","25","24","null","null","31","31","null","null","23","18","null","null","0","12","null","null","6","null","8","null","10","null","11","null","54","31","null","null","20","null","16","null","25","null","15","null","22","null","15","null","37","null","21","null","43","28","null","null","25","null","18","null",
"1500000US530330010002","Block Group 2, Census Tract 10, King County, Washington","403","45","null","null","19","13","null","null","4","7","null","null","16","14","null","null","0","12","null","null","8","12","null","null","36","30","null","null","6","9","null","null","0","null","12","null","5","null","8","null","26","17","null","null","8","null","11","null","54","null","28","null","54","null","30","null","40","null","23","null","61","28","null","null","66","null","34","null",
"1500000US530330011001","Block Group 1, Census Tract 11, King County, Washington","507","72","null","null","26","24","null","null","12","17","null","null","0","12","null","null","0","12","null","null","21","23","null","null","9","13","null","null","0","12","null","null","16","null","18","null","34","null","41","null","50","49","null","null","74","null","57","null","65","null","32","null","33","null","28","null","55","null","33","null","41","31","null","null","71","null","41","null",
"1500000US530330011002","Block Group 2, Census Tract 11, King County, Washington","532","64","null","null","11","16","null","null","39","30","null","null","8","12","null","null","5","9","null","null","27","42","null","null","6","11","null","null","0","12","null","null","36","null","34","null","21","null","24","null","17","26","null","null","68","null","42","null","55","null","39","null","85","null","49","null","13","null","15","null","89","44","null","null","52","null","36","null",
"1500000US530330012001","Block Group 1, Census Tract 12, King County, Washington","462","94","null","null","0","12","null","null","14","23","null","null","0","12","null","null","0","12","null","null","0","12","null","null","0","12","null","null","0","12","null","null","59","null","65","null","14","null","21","null","18","28","null","null","0","null","12","null","47","null","43","null","127","null","67","null","52","null","37","null","56","51","null","null","75","null","52","null",
