"GEO_ID","NAME","B19001_001E","B19001_001EA","B19001_001M","B19001_001MA","B19001_002E","B19001_002EA","B19001_002M","B19001_002MA","B19001_003E","B19001_003EA","B19001_003M","B19001_003MA","B19001_004E","B19001_004EA","B19001_004M","B19001_004MA","B19001_005E","B19001_005EA","B19001_005M","B19001_005MA","B19001_006E","B19001_006EA","B19001_006M","B19001_006MA","B19001_007E","B19001_007M","B19001_007MA","B19001_007EA","B19001_008E","B19001_008EA","B19001_008M","B19001_008MA","B19001_009E","B19001_009M","B19001_009MA","B19001_009EA","B19001_010E","B19001_010EA","B19001_010M","B19001_010MA","B19001_011E","B19001_011EA","B19001_011M","B19001_011MA","B19001_012E","B19001_012EA","B19001_012M","B19001_012MA","B19001_013E","B19001_013EA","B19001_013M","B19001_013MA","B19001_014E","B19001_014EA","B19001_014M","B19001_014MA","B19001_015E","B19001_015EA","B19001_015M","B19001_015MA","B19001_016E","B19001_016EA","B19001_016M","B19001_016MA","B19001_017E","B19001_017M","B19001_017MA","B19001_017EA",
"Geography","Geographic Area Name","Estimate!!Total:","Annotation of Estimate!!Total:","Margin of Error!!Total:","Annotation of Margin of Error!!Total:","Estimate!!Total:!!Less than $10,000","Annotation of Estimate!!Total:!!Less than $10,000","Margin of Error!!Total:!!Less than $10,000","Annotation of Margin of Error!!Total:!!Less than $10,000","Estimate!!Total:!!$10,000 to $14,999","Annotation of Estimate!!Total:!!$10,000 to $14,999","Margin of Error!!Total:!!$10,000 to $14,999","Annotation of Margin of Error!!Total:!!$10,000 to $14,999","Estimate!!Total:!!$15,000 to $19,999","Annotation of Estimate!!Total:!!$15,000 to $19,999","Margin of Error!!Total:!!$15,000 to $19,999","Annotation of Margin of Error!!Total:!!$15,000 to $19,999","Estimate!!Total:!!$20,000 to $24,999","Annotation of Estimate!!Total:!!$20,000 to $24,999","Margin of Error!!Total:!!$20,000 to $24,999","Annotation of Margin of Error!!Total:!!$20,000 to $24,999","Estimate!!Total:!!$25,000 to $29,999","Annotation of Estimate!!Total:!!$25,000 to $29,999","Margin of Error!!Total:!!$25,000 to $29,999","Annotation of Margin of Error!!Total:!!$25,000 to $29,999","Estimate!!Total:!!$30,000 to $34,999","Margin of Error!!Total:!!$30,000 to $34,999","Annotation of Margin of Error!!Total:!!$30,000 to $34,999","Annotation of Estimate!!Total:!!$30,000 to $34,999","Estimate!!Total:!!$35,000 to $39,999","Annotation of Estimate!!Total:!!$35,000 to $39,999","Margin of Error!!Total:!!$35,000 to $39,999","Annotation of Margin of Error!!Total:!!$35,000 to $39,999","Estimate!!Total:!!$40,000 to $44,999","Margin of Error!!Total:!!$40,000 to $44,999","Annotation of Margin of Error!!Total:!!$40,000 to $44,999","Annotation of Estimate!!Total:!!$40,000 to $44,999","Estimate!!Total:!!$45,000 to $49,999","Annotation of Estimate!!Total:!!$45,000 to $49,999","Margin of Error!!Total:!!$45,000 to $49,999","Annotation of Margin of Error!!Total:!!$45,000 to $49,999","Estimate!!Total:!!$50,000 to $59,999","Annotation of Estimate!!Total:!!$50,000 to $59,999","Margin of Error!!Total:!!$50,000 to $59,999","Annotation of Margin of Error!!Total:!!$50,000 to $59,999","Estimate!!Total:!!$60,000 to $74,999","Annotation of Estimate!!Total:!!$60,000 to $74,999","Margin of Error!!Total:!!$60,000 to $74,999","Annotation of Margin of Error!!Total:!!$60,000 to $74,999","Estimate!!Total:!!$75,000 to $99,999","Annotation of Estimate!!Total:!!$75,000 to $99,999","Margin of Error!!Total:!!$75,000 to $99,999","Annotation of Margin of Error!!Total:!!$75,000 to $99,999","Estimate!!Total:!!$100,000 to $124,999","Annotation of Estimate!!Total:!!$100,000 to $124,999","Margin of Error!!Total:!!$100,000 to $124,999","Annotation of Margin of Error!!Total:!!$100,000 to $124,999","Estimate!!Total:!!$125,000 to $149,999","Annotation of Estimate!!Total:!!$125,000 to $149,999","Margin of Error!!Total:!!$125,000 to $149,999","Annotation of Margin of Error!!Total:!!$125,000 to $149,999","Estimate!!Total:!!$150,000 to $199,999","Annotation of Estimate!!Total:!!$150,000 to $199,999","Margin of Error!!Total:!!$150,000 to $199,999","Annotation of Margin of Error!!Total:!!$150,000 to $199,999","Estimate!!Total:!!$200,000 or more","Margin of Error!!Total:!!$200,000 or more","Annotation of Margin of Error!!Total:!!$200,000 or more","Annotation of Estimate!!Total:!!$200,000 or more",
"1500000US530330001001","Block Group 1, Census Tract 1, King County, Washington","514","null","89","null","0","null","12","null","0","null","12","null","0","null","12","null","0","null","12","null","30","null","35","null","0","12","null","null","0","null","12","null","0","12","null","null","0","null","12","null","15","null","25","null","15","null","25","null","66","null","53","null","53","null","50","null","31","null","33","null","18","null","29","null","286","82","null","null",
"1500000US530330001002","Block Group 2, Census Tract 1, King County, Washington","740","null","173","null","34","null","38","null","35","null","29","null","38","null","43","null","12","null","18","null","62","null","51","null","15","25","null","null","64","null","103","null","58","52","null","null","42","null","49","null","193","null","108","null","12","null","21","null","65","null","56","null","46","null","43","null","33","null","37","null","18","null","31","null","13","21","null","null",
"1500000US530330001003","Block Group 3, Census Tract 1, King County, Washington","699","null","118","null","76","null","55","null","90","null","65","null","95","null","81","null","45","null","73","null","0","null","12","null","0","12","null","null","0","null","12","null","15","25","null","null","19","null","31","null","38","null","39","null","57","null","54","null","47","null","42","null","50","null","44","null","19","null","29","null","96","null","60","null","52","47","null","null",
"1500000US530330001004","Block Group 4, Census Tract 1, King County, Washington","1240","null","183","null","52","null","47","null","64","null","51","null","128","null","109","null","113","null","108","null","65","null","77","null","24","38","null","null","131","null","95","null","66","79","null","null","47","null","44","null","63","null","46","null","105","null","62","null","202","null","106","null","124","null","101","null","39","null","42","null","0","null","12","null","17","28","null","null",
"1500000US530330001005","Block Group 5, Census Tract 1, King County, Washington","777","null","119","null","60","null","41","null","34","null","39","null","0","null","12","null","89","null","85","null","109","null","61","null","0","12","null","null","50","null","47","null","30","34","null","null","31","null","35","null","70","null","48","null","143","null","116","null","46","null","76","null","11","null","18","null","18","null","27","null","86","null","90","null","0","12","null","null",
"1500000US530330002001","Block Group 1, Census Tract 2, King County, Washington","538","null","112","null","0","null","12","null","0","null","12","null","0","null","12","null","0","null","12","null","0","null","12","null","0","12","null","null","0","null","12","null","0","12","null","null","32","null","37","null","109","null","94","null","0","null","12","null","101","null","66","null","128","null","94","null","31","null","34","null","119","null","75","null","18","34","null","null",
"1500000US530330002002","Block Group 2, Census Tract 2, King County, Washington","541","null","107","null","36","null","40","null","0","null","12","null","0","null","12","null","0","null","12","null","0","null","12","null","32","36","null","null","0","null","12","null","17","26","null","null","62","null","65","null","72","null","54","null","136","null","81","null","56","null","53","null","103","null","51","null","0","null","12","null","13","null","20","null","14","23","null","null",
"1500000US530330002003","Block Group 3, Census Tract 2, King County, Washington","909","null","142","null","20","null","33","null","15","null","25","null","61","null","72","null","0","null","12","null","39","null","44","null","0","12","null","null","53","null","50","null","69","70","null","null","120","null","111","null","83","null","60","null","102","null","67","null","114","null","65","null","65","null","63","null","91","null","58","null","21","null","33","null","56","68","null","null",
"1500000US530330002004","Block Group 4, Census Tract 2, King County, Washington","505","null","107","null","16","null","27","null","0","null","12","null","15","null","25","null","21","null","34","null","16","null","25","null","0","12","null","null","16","null","25","null","0","12","null","null","0","null","12","null","60","null","54","null","78","null","53","null","98","null","58","null","71","null","82","null","28","null","31","null","51","null","50","null","35","39","null","null",
