"GEO_ID","NAME","B02001_001E","B02001_001EA","B02001_001M","B02001_001MA","B02001_002E","B02001_002M","B02001_002MA","B02001_002EA","B02001_003E","B02001_003EA","B02001_003M","B02001_003MA","B02001_004E","B02001_004EA","B02001_004M","B02001_004MA","B02001_005E","B02001_005EA","B02001_005M","B02001_005MA","B02001_006E","B02001_006EA","B02001_006M","B02001_006MA","B02001_007E","B02001_007M","B02001_007MA","B02001_007EA","B02001_008E","B02001_008EA","B02001_008M","B02001_008MA","B02001_009E","B02001_009EA","B02001_009M","B02001_009MA","B02001_010E","B02001_010EA","B02001_010M","B02001_010MA",
"Geography","Geographic Area Name","Estimate!!Total","Annotation of Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Estimate!!Total!!White alone","Margin of Error!!Total!!White alone","Annotation of Margin of Error!!Total!!White alone","Annotation of Estimate!!Total!!White alone","Estimate!!Total!!Black or African American alone","Annotation of Estimate!!Total!!Black or African American alone","Margin of Error!!Total!!Black or African American alone","Annotation of Margin of Error!!Total!!Black or African American alone","Estimate!!Total!!American Indian and Alaska Native alone","Annotation of Estimate!!Total!!American Indian and Alaska Native alone","Margin of Error!!Total!!American Indian and Alaska Native alone","Annotation of Margin of Error!!Total!!American Indian and Alaska Native alone","Estimate!!Total!!Asian alone","Annotation of Estimate!!Total!!Asian alone","Margin of Error!!Total!!Asian alone","Annotation of Margin of Error!!Total!!Asian alone","Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Annotation of Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Annotation of Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Some other race alone","Margin of Error!!Total!!Some other race alone","Annotation of Margin of Error!!Total!!Some other race alone","Annotation of Estimate!!Total!!Some other race alone","Estimate!!Total!!Two or more races","Annotation of Estimate!!Total!!Two or more races","Margin of Error!!Total!!Two or more races","Annotation of Margin of Error!!Total!!Two or more races","Estimate!!Total!!Two or more races!!Two races including Some other race","Annotation of Estimate!!Total!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Two or more races!!Two races including Some other race","Annotation of Margin of Error!!Total!!Two or more races!!Two races including Some other race","Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Annotation of Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Annotation of Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races",
"1500000US530330001001","Block Group 1, Census Tract 1, King County, Washington","1191","null","322","null","909","291","null","null","129","null","152","null","0","null","12","null","153","null","138","null","0","null","12","null","0","12","null","null","0","null","12","null","0","null","12","null","0","null","12","null",
"1500000US530330001002","Block Group 2, Census Tract 1, King County, Washington","995","null","248","null","745","251","null","null","141","null","103","null","0","null","12","null","68","null","68","null","10","null","16","null","0","12","null","null","31","null","36","null","0","null","12","null","31","null","36","null",
"1500000US530330001003","Block Group 3, Census Tract 1, King County, Washington","1590","null","317","null","1169","298","null","null","107","null","140","null","0","null","12","null","131","null","85","null","19","null","30","null","85","76","null","null","79","null","67","null","0","null","12","null","79","null","67","null",
"1500000US530330001004","Block Group 4, Census Tract 1, King County, Washington","1704","null","462","null","647","264","null","null","269","null","220","null","67","null","105","null","277","null","228","null","0","null","12","null","427","353","null","null","17","null","26","null","0","null","12","null","17","null","26","null",
"1500000US530330001005","Block Group 5, Census Tract 1, King County, Washington","802","null","142","null","582","160","null","null","14","null","21","null","13","null","20","null","179","null","102","null","0","null","12","null","0","12","null","null","14","null","22","null","0","null","12","null","14","null","22","null",
"1500000US530330002001","Block Group 1, Census Tract 2, King County, Washington","989","null","202","null","642","180","null","null","0","null","12","null","0","null","12","null","269","null","168","null","0","null","12","null","12","21","null","null","66","null","63","null","0","null","12","null","66","null","63","null",
"1500000US530330002002","Block Group 2, Census Tract 2, King County, Washington","918","null","298","null","541","179","null","null","156","null","261","null","0","null","12","null","170","null","143","null","0","null","12","null","35","53","null","null","16","null","25","null","0","null","12","null","16","null","25","null",
"1500000US530330002003","Block Group 3, Census Tract 2, King County, Washington","1570","null","399","null","1013","273","null","null","74","null","83","null","0","null","12","null","451","null","324","null","0","null","12","null","0","12","null","null","32","null","37","null","0","null","12","null","32","null","37","null",
"1500000US530330002004","Block Group 4, Census Tract 2, King County, Washington","1037","null","212","null","855","230","null","null","0","null","12","null","0","null","12","null","166","null","158","null","0","null","12","null","0","12","null","null","16","null","28","null","0","null","12","null","16","null","28","null",
"1500000US530330002005","Block Group 5, Census Tract 2, King County, Washington","1498","null","310","null","936","237","null","null","144","null","140","null","0","null","12","null","250","null","138","null","0","null","12","null","13","21","null","null","155","null","180","null","0","null","12","null","155","null","180","null",
"1500000US530330002006","Block Group 6, Census Tract 2, King County, Washington","1360","null","319","null","1026","256","null","null","20","null","32","null","6","null","16","null","96","null","90","null","0","null","12","null","20","32","null","null","192","null","226","null","8","null","19","null","184","null","226","null",
"1500000US530330003001","Block Group 1, Census Tract 3, King County, Washington","1250","null","228","null","1019","185","null","null","0","null","12","null","0","null","12","null","208","null","154","null","0","null","12","null","0","12","null","null","23","null","29","null","8","null","13","null","15","null","26","null",
"1500000US530330003002","Block Group 2, Census Tract 3, King County, Washington","1291","null","209","null","892","193","null","null","95","null","85","null","51","null","53","null","74","null","68","null","90","null","118","null","25","39","null","null","64","null","47","null","28","null","33","null","36","null","34","null",
"1500000US530330004011","Block Group 1, Census Tract 4.01, King County, Washington","3373","null","757","null","1902","562","null","null","774","null","379","null","44","null","68","null","146","null","117","null","0","null","12","null","49","45","null","null","458","null","320","null","0","null","12","null","458","null","320","null",
"1500000US530330004012","Block Group 2, Census Tract 4.01, King County, Washington","1604","null","377","null","953","291","null","null","222","null","247","null","15","null","23","null","324","null","245","null","0","null","12","null","22","35","null","null","68","null","87","null","0","null","12","null","68","null","87","null",
"1500000US530330004013","Block Group 3, Census Tract 4.01, King County, Washington","1133","null","224","null","834","194","null","null","101","null","97","null","0","null","12","null","131","null","82","null","21","null","37","null","0","12","null","null","46","null","41","null","0","null","12","null","46","null","41","null",
"1500000US530330004021","Block Group 1, Census Tract 4.02, King County, Washington","1012","null","217","null","925","227","null","null","26","null","34","null","10","null","16","null","51","null","45","null","0","null","12","null","0","12","null","null","0","null","12","null","0","null","12","null","0","null","12","null",
"1500000US530330004022","Block Group 2, Census Tract 4.02, King County, Washington","975","null","216","null","776","176","null","null","37","null","59","null","90","null","142","null","42","null","50","null","0","null","12","null","0","12","null","null","30","null","48","null","30","null","48","null","0","null","12","null",
"1500000US530330004023","Block Group 3, Census Tract 4.02, King County, Washington","1151","null","289","null","801","219","null","null","173","null","196","null","0","null","12","null","107","null","96","null","16","null","26","null","0","12","null","null","54","null","84","null","0","null","12","null","54","null","84","null",
"1500000US530330004024","Block Group 4, Census Tract 4.02, King County, Washington","1358","null","276","null","1138","225","null","null","4","null","10","null","19","null","30","null","156","null","156","null","0","null","12","null","13","21","null","null","28","null","47","null","0","null","12","null","28","null","47","null",
"1500000US530330005001","Block Group 1, Census Tract 5, King County, Washington","1185","null","180","null","1155","181","null","null","0","null","12","null","0","null","12","null","14","null","17","null","0","null","12","null","0","12","null","null","16","null","19","null","0","null","12","null","16","null","19","null",
"1500000US530330005002","Block Group 2, Census Tract 5, King County, Washington","837","null","155","null","566","126","null","null","12","null","18","null","0","null","12","null","154","null","105","null","0","null","12","null","44","59","null","null","61","null","39","null","13","null","19","null","48","null","35","null",
"1500000US530330005003","Block Group 3, Census Tract 5, King County, Washington","1097","null","207","null","939","206","null","null","0","null","12","null","0","null","12","null","119","null","68","null","0","null","12","null","0","12","null","null","39","null","32","null","8","null","13","null","31","null","28","null",
"1500000US530330006001","Block Group 1, Census Tract 6, King County, Washington","1063","null","274","null","780","220","null","null","67","null","79","null","23","null","36","null","91","null","130","null","0","null","12","null","85","120","null","null","17","null","26","null","0","null","12","null","17","null","26","null",
"1500000US530330006002","Block Group 2, Census Tract 6, King County, Washington","1188","null","319","null","759","251","null","null","125","null","179","null","16","null","26","null","263","null","159","null","0","null","12","null","0","12","null","null","25","null","31","null","0","null","12","null","25","null","31","null",
"1500000US530330006003","Block Group 3, Census Tract 6, King County, Washington","1321","null","408","null","1024","340","null","null","6","null","14","null","0","null","12","null","109","null","99","null","0","null","12","null","29","48","null","null","153","null","151","null","0","null","12","null","153","null","151","null",
"1500000US530330006004","Block Group 4, Census Tract 6, King County, Washington","1550","null","367","null","1191","345","null","null","84","null","119","null","0","null","12","null","212","null","147","null","0","null","12","null","32","51","null","null","31","null","46","null","0","null","12","null","31","null","46","null",
"1500000US530330006005","Block Group 5, Census Tract 6, King County, Washington","610","null","190","null","396","132","null","null","0","null","12","null","0","null","12","null","168","null","134","null","0","null","12","null","0","12","null","null","46","null","46","null","0","null","12","null","46","null","46","null",
"1500000US530330006006","Block Group 6, Census Tract 6, King County, Washington","1473","null","308","null","1088","316","null","null","18","null","26","null","15","null","25","null","230","null","171","null","79","null","110","null","0","12","null","null","43","null","51","null","0","null","12","null","43","null","51","null",
"1500000US530330007001","Block Group 1, Census Tract 7, King County, Washington","1808","null","397","null","1025","322","null","null","192","null","132","null","0","null","12","null","436","null","330","null","71","null","113","null","54","67","null","null","30","null","34","null","0","null","12","null","30","null","34","null",
"1500000US530330007002","Block Group 2, Census Tract 7, King County, Washington","1008","null","236","null","853","234","null","null","0","null","12","null","0","null","12","null","106","null","72","null","0","null","12","null","0","12","null","null","49","null","47","null","24","null","37","null","25","null","27","null",
"1500000US530330007003","Block Group 3, Census Tract 7, King County, Washington","957","null","270","null","687","204","null","null","0","null","12","null","0","null","12","null","214","null","228","null","0","null","12","null","43","71","null","null","13","null","21","null","0","null","12","null","13","null","21","null",
"1500000US530330007004","Block Group 4, Census Tract 7, King County, Washington","582","null","135","null","497","133","null","null","17","null","27","null","0","null","12","null","45","null","54","null","0","null","12","null","23","32","null","null","0","null","12","null","0","null","12","null","0","null","12","null",
