"GEO_ID","NAME","B02001_001E","B02001_001M","B02001_001MA","B02001_001EA","B02001_002E","B02001_002M","B02001_002MA","B02001_002EA","B02001_003E","B02001_003M","B02001_003MA","B02001_003EA","B02001_004E","B02001_004M","B02001_004MA","B02001_004EA","B02001_005E","B02001_005EA","B02001_005M","B02001_005MA","B02001_006E","B02001_006M","B02001_006MA","B02001_006EA","B02001_007E","B02001_007M","B02001_007MA","B02001_007EA","B02001_008E","B02001_008M","B02001_008MA","B02001_008EA","B02001_009E","B02001_009M","B02001_009MA","B02001_009EA","B02001_010E","B02001_010EA","B02001_010M","B02001_010MA",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Annotation of Estimate!!Total","Estimate!!Total!!White alone","Margin of Error!!Total!!White alone","Annotation of Margin of Error!!Total!!White alone","Annotation of Estimate!!Total!!White alone","Estimate!!Total!!Black or African American alone","Margin of Error!!Total!!Black or African American alone","Annotation of Margin of Error!!Total!!Black or African American alone","Annotation of Estimate!!Total!!Black or African American alone","Estimate!!Total!!American Indian and Alaska Native alone","Margin of Error!!Total!!American Indian and Alaska Native alone","Annotation of Margin of Error!!Total!!American Indian and Alaska Native alone","Annotation of Estimate!!Total!!American Indian and Alaska Native alone","Estimate!!Total!!Asian alone","Annotation of Estimate!!Total!!Asian alone","Margin of Error!!Total!!Asian alone","Annotation of Margin of Error!!Total!!Asian alone","Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Annotation of Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Annotation of Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Some other race alone","Margin of Error!!Total!!Some other race alone","Annotation of Margin of Error!!Total!!Some other race alone","Annotation of Estimate!!Total!!Some other race alone","Estimate!!Total!!Two or more races","Margin of Error!!Total!!Two or more races","Annotation of Margin of Error!!Total!!Two or more races","Annotation of Estimate!!Total!!Two or more races","Estimate!!Total!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Two or more races!!Two races including Some other race","Annotation of Margin of Error!!Total!!Two or more races!!Two races including Some other race","Annotation of Estimate!!Total!!Two or more races!!Two races including Some other race","Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Annotation of Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Annotation of Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races",
"1500000US530330001001","Block Group 1, Census Tract 1, King County, Washington","1177","308","null","null","960","247","null","null","72","111","null","null","0","12","null","null","145","null","143","null","0","12","null","null","0","12","null","null","0","12","null","null","0","12","null","null","0","null","12","null",
"1500000US530330001002","Block Group 2, Census Tract 1, King County, Washington","1112","365","null","null","696","292","null","null","127","91","null","null","0","12","null","null","95","null","77","null","129","156","null","null","0","12","null","null","65","66","null","null","0","12","null","null","65","null","66","null",
"1500000US530330001003","Block Group 3, Census Tract 1, King County, Washington","1571","385","null","null","1101","359","null","null","127","109","null","null","0","12","null","null","102","null","61","null","15","26","null","null","79","75","null","null","147","117","null","null","0","12","null","null","147","null","117","null",
"1500000US530330001004","Block Group 4, Census Tract 1, King County, Washington","1771","395","null","null","694","262","null","null","282","196","null","null","64","103","null","null","289","null","221","null","0","12","null","null","374","244","null","null","68","65","null","null","14","22","null","null","54","null","61","null",
"1500000US530330001005","Block Group 5, Census Tract 1, King County, Washington","746","162","null","null","511","169","null","null","1","3","null","null","12","21","null","null","172","null","120","null","0","12","null","null","17","30","null","null","33","39","null","null","0","12","null","null","33","null","39","null",
"1500000US530330002001","Block Group 1, Census Tract 2, King County, Washington","889","244","null","null","558","185","null","null","0","12","null","null","0","12","null","null","265","null","183","null","0","12","null","null","14","24","null","null","52","63","null","null","0","12","null","null","52","null","63","null",
"1500000US530330002002","Block Group 2, Census Tract 2, King County, Washington","1004","365","null","null","562","165","null","null","226","333","null","null","0","12","null","null","147","null","134","null","0","12","null","null","52","77","null","null","17","30","null","null","0","12","null","null","17","null","30","null",
"1500000US530330002003","Block Group 3, Census Tract 2, King County, Washington","1838","422","null","null","932","251","null","null","247","267","null","null","71","114","null","null","576","null","387","null","0","12","null","null","0","12","null","null","12","20","null","null","0","12","null","null","12","null","20","null",
"1500000US530330002004","Block Group 4, Census Tract 2, King County, Washington","1142","290","null","null","623","173","null","null","0","12","null","null","0","12","null","null","451","null","277","null","0","12","null","null","0","12","null","null","68","64","null","null","0","12","null","null","68","null","64","null",
