"GEO_ID","NAME","B02001_001E","B02001_001M","B02001_001MA","B02001_001EA","B02001_002E","B02001_002M","B02001_002MA","B02001_002EA","B02001_003E","B02001_003EA","B02001_003M","B02001_003MA","B02001_004E","B02001_004EA","B02001_004M","B02001_004MA","B02001_005E","B02001_005M","B02001_005MA","B02001_005EA","B02001_006E","B02001_006EA","B02001_006M","B02001_006MA","B02001_007E","B02001_007M","B02001_007MA","B02001_007EA","B02001_008E","B02001_008EA","B02001_008M","B02001_008MA","B02001_009E","B02001_009EA","B02001_009M","B02001_009MA","B02001_010E","B02001_010M","B02001_010MA","B02001_010EA",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Annotation of Estimate!!Total","Estimate!!Total!!White alone","Margin of Error!!Total!!White alone","Annotation of Margin of Error!!Total!!White alone","Annotation of Estimate!!Total!!White alone","Estimate!!Total!!Black or African American alone","Annotation of Estimate!!Total!!Black or African American alone","Margin of Error!!Total!!Black or African American alone","Annotation of Margin of Error!!Total!!Black or African American alone","Estimate!!Total!!American Indian and Alaska Native alone","Annotation of Estimate!!Total!!American Indian and Alaska Native alone","Margin of Error!!Total!!American Indian and Alaska Native alone","Annotation of Margin of Error!!Total!!American Indian and Alaska Native alone","Estimate!!Total!!Asian alone","Margin of Error!!Total!!Asian alone","Annotation of Margin of Error!!Total!!Asian alone","Annotation of Estimate!!Total!!Asian alone","Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Annotation of Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Annotation of Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Some other race alone","Margin of Error!!Total!!Some other race alone","Annotation of Margin of Error!!Total!!Some other race alone","Annotation of Estimate!!Total!!Some other race alone","Estimate!!Total!!Two or more races","Annotation of Estimate!!Total!!Two or more races","Margin of Error!!Total!!Two or more races","Annotation of Margin of Error!!Total!!Two or more races","Estimate!!Total!!Two or more races!!Two races including Some other race","Annotation of Estimate!!Total!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Two or more races!!Two races including Some other race","Annotation of Margin of Error!!Total!!Two or more races!!Two races including Some other race","Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Annotation of Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Annotation of Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races",
"1500000US530330001001","Block Group 1, Census Tract 1, King County, Washington","1293","290","null","null","1117","271","null","null","27","null","71","null","0","null","12","null","139","124","null","null","0","null","12","null","0","12","null","null","10","null","21","null","10","null","21","null","0","12","null","null",
"1500000US530330001002","Block Group 2, Census Tract 1, King County, Washington","1202","326","null","null","769","276","null","null","168","null","100","null","0","null","12","null","114","100","null","null","90","null","131","null","0","12","null","null","61","null","59","null","0","null","12","null","61","59","null","null",
"1500000US530330001003","Block Group 3, Census Tract 1, King County, Washington","1607","349","null","null","1015","330","null","null","141","null","112","null","0","null","12","null","201","120","null","null","13","null","22","null","112","83","null","null","125","null","90","null","0","null","12","null","125","90","null","null",
"1500000US530330001004","Block Group 4, Census Tract 1, King County, Washington","1816","478","null","null","577","178","null","null","511","null","221","null","45","null","74","null","194","146","null","null","0","null","12","null","246","222","null","null","243","null","271","null","54","null","67","null","189","209","null","null",
"1500000US530330001005","Block Group 5, Census Tract 1, King County, Washington","1000","211","null","null","730","195","null","null","1","null","2","null","22","null","26","null","211","133","null","null","0","null","12","null","18","28","null","null","18","null","29","null","0","null","12","null","18","29","null","null",
"1500000US530330002001","Block Group 1, Census Tract 2, King County, Washington","1063","316","null","null","790","283","null","null","0","null","12","null","0","null","12","null","216","141","null","null","0","null","12","null","16","25","null","null","41","null","48","null","0","null","12","null","41","48","null","null",
"1500000US530330002002","Block Group 2, Census Tract 2, King County, Washington","1143","413","null","null","532","197","null","null","217","null","331","null","0","null","12","null","237","152","null","null","0","null","12","null","102","111","null","null","55","null","82","null","0","null","12","null","55","82","null","null",
"1500000US530330002003","Block Group 3, Census Tract 2, King County, Washington","1876","418","null","null","961","249","null","null","242","null","250","null","60","null","102","null","563","395","null","null","0","null","12","null","0","12","null","null","50","null","47","null","0","null","12","null","50","47","null","null",
"1500000US530330002004","Block Group 4, Census Tract 2, King County, Washington","1044","267","null","null","463","112","null","null","0","null","12","null","0","null","12","null","493","247","null","null","0","null","12","null","0","12","null","null","88","null","67","null","0","null","12","null","88","67","null","null",
"1500000US530330002005","Block Group 5, Census Tract 2, King County, Washington","1494","313","null","null","964","236","null","null","176","null","192","null","0","null","12","null","125","91","null","null","0","null","12","null","0","12","null","null","229","null","236","null","0","null","12","null","229","236","null","null",
"1500000US530330002006","Block Group 6, Census Tract 2, King County, Washington","1354","326","null","null","1137","302","null","null","0","null","12","null","8","null","19","null","90","97","null","null","0","null","12","null","20","38","null","null","99","null","80","null","31","null","42","null","68","68","null","null",
"1500000US530330003001","Block Group 1, Census Tract 3, King County, Washington","1160","175","null","null","929","154","null","null","16","null","26","null","0","null","12","null","117","75","null","null","28","null","46","null","0","12","null","null","70","null","103","null","0","null","12","null","70","103","null","null",
"1500000US530330003002","Block Group 2, Census Tract 3, King County, Washington","1477","238","null","null","1054","229","null","null","103","null","83","null","28","null","37","null","95","66","null","null","96","null","124","null","0","12","null","null","101","null","65","null","33","null","38","null","68","53","null","null",
"1500000US530330004011","Block Group 1, Census Tract 4.01, King County, Washington","3409","500","null","null","1756","342","null","null","909","null","445","null","25","null","40","null","341","201","null","null","0","null","12","null","22","37","null","null","356","null","239","null","0","null","12","null","356","239","null","null",
"1500000US530330004012","Block Group 2, Census Tract 4.01, King County, Washington","1388","319","null","null","869","238","null","null","38","null","45","null","14","null","24","null","441","305","null","null","0","null","12","null","20","33","null","null","6","null","14","null","0","null","12","null","6","14","null","null",
"1500000US530330004013","Block Group 3, Census Tract 4.01, King County, Washington","1110","246","null","null","913","230","null","null","56","null","69","null","0","null","12","null","102","68","null","null","0","null","12","null","0","12","null","null","39","null","40","null","0","null","12","null","39","40","null","null",
"1500000US530330004021","Block Group 1, Census Tract 4.02, King County, Washington","1098","275","null","null","976","271","null","null","0","null","12","null","7","null","11","null","53","44","null","null","19","null","30","null","0","12","null","null","43","null","42","null","0","null","12","null","43","42","null","null",
"1500000US530330004022","Block Group 2, Census Tract 4.02, King County, Washington","738","182","null","null","644","189","null","null","10","null","18","null","0","null","12","null","35","49","null","null","0","null","12","null","0","12","null","null","49","null","57","null","26","null","43","null","23","38","null","null",
"1500000US530330004023","Block Group 3, Census Tract 4.02, King County, Washington","1209","310","null","null","832","217","null","null","328","null","283","null","16","null","27","null","14","24","null","null","19","null","31","null","0","12","null","null","0","null","12","null","0","null","12","null","0","12","null","null",
"1500000US530330004024","Block Group 4, Census Tract 4.02, King County, Washington","1861","426","null","null","1448","315","null","null","70","null","61","null","21","null","36","null","216","148","null","null","0","null","12","null","64","56","null","null","42","null","35","null","0","null","12","null","42","35","null","null",
"1500000US530330005001","Block Group 1, Census Tract 5, King County, Washington","1092","194","null","null","1039","193","null","null","13","null","19","null","0","null","12","null","35","40","null","null","0","null","12","null","0","12","null","null","5","null","8","null","0","null","12","null","5","8","null","null",
"1500000US530330005002","Block Group 2, Census Tract 5, King County, Washington","901","144","null","null","717","151","null","null","19","null","29","null","0","null","12","null","112","81","null","null","0","null","12","null","0","12","null","null","53","null","37","null","10","null","15","null","43","33","null","null",
"1500000US530330005003","Block Group 3, Census Tract 5, King County, Washington","1051","191","null","null","906","188","null","null","0","null","12","null","0","null","12","null","106","65","null","null","0","null","12","null","0","12","null","null","39","null","37","null","0","null","12","null","39","37","null","null",
"1500000US530330006001","Block Group 1, Census Tract 6, King County, Washington","1029","217","null","null","712","176","null","null","54","null","97","null","21","null","37","null","217","153","null","null","0","null","12","null","0","12","null","null","25","null","41","null","0","null","12","null","25","41","null","null",
"1500000US530330006002","Block Group 2, Census Tract 6, King County, Washington","1010","323","null","null","702","246","null","null","0","null","12","null","13","null","22","null","223","200","null","null","0","null","12","null","0","12","null","null","72","null","84","null","0","null","12","null","72","84","null","null",
"1500000US530330006003","Block Group 3, Census Tract 6, King County, Washington","1472","445","null","null","736","237","null","null","36","null","56","null","11","null","17","null","253","212","null","null","0","null","12","null","325","341","null","null","111","null","114","null","0","null","12","null","111","114","null","null",
"1500000US530330006004","Block Group 4, Census Tract 6, King County, Washington","1712","330","null","null","1355","359","null","null","182","null","160","null","0","null","12","null","112","85","null","null","0","null","12","null","0","12","null","null","63","null","64","null","0","null","12","null","63","64","null","null",
"1500000US530330006005","Block Group 5, Census Tract 6, King County, Washington","924","298","null","null","434","147","null","null","187","null","200","null","0","null","12","null","68","68","null","null","0","null","12","null","235","113","null","null","0","null","12","null","0","null","12","null","0","12","null","null",
"1500000US530330006006","Block Group 6, Census Tract 6, King County, Washington","1527","420","null","null","1098","353","null","null","65","null","85","null","11","null","19","null","235","223","null","null","0","null","12","null","46","75","null","null","72","null","87","null","0","null","12","null","72","87","null","null",
"1500000US530330007001","Block Group 1, Census Tract 7, King County, Washington","2101","439","null","null","1141","263","null","null","329","null","313","null","0","null","12","null","529","340","null","null","86","null","137","null","16","26","null","null","0","null","12","null","0","null","12","null","0","12","null","null",
"1500000US530330007002","Block Group 2, Census Tract 7, King County, Washington","1128","279","null","null","836","258","null","null","58","null","53","null","3","null","7","null","105","77","null","null","0","null","12","null","58","71","null","null","68","null","52","null","0","null","12","null","68","52","null","null",
"1500000US530330007003","Block Group 3, Census Tract 7, King County, Washington","1075","318","null","null","796","282","null","null","17","null","27","null","0","null","12","null","210","219","null","null","0","null","12","null","52","83","null","null","0","null","12","null","0","null","12","null","0","12","null","null",
"1500000US530330007004","Block Group 4, Census Tract 7, King County, Washington","588","182","null","null","439","134","null","null","30","null","34","null","0","null","12","null","27","43","null","null","12","null","19","null","27","35","null","null","53","null","63","null","0","null","12","null","53","63","null","null",
"1500000US530330008001","Block Group 1, Census Tract 8, King County, Washington","1111","206","null","null","879","170","null","null","12","null","16","null","14","null","15","null","170","121","null","null","0","null","12","null","0","12","null","null","36","null","40","null","0","null","12","null","36","40","null","null",
"1500000US530330008002","Block Group 2, Census Tract 8, King County, Washington","1376","191","null","null","1225","200","null","null","12","null","20","null","0","null","12","null","92","71","null","null","0","null","12","null","0","12","null","null","47","null","43","null","0","null","12","null","47","43","null","null",
"1500000US530330009001","Block Group 1, Census Tract 9, King County, Washington","1079","174","null","null","850","168","null","null","7","null","11","null","26","null","32","null","104","54","null","null","30","null","36","null","4","8","null","null","58","null","34","null","0","null","12","null","58","34","null","null",
"1500000US530330009002","Block Group 2, Census Tract 9, King County, Washington","892","109","null","null","797","119","null","null","10","null","15","null","0","null","12","null","38","26","null","null","0","null","12","null","12","12","null","null","35","null","28","null","5","null","8","null","30","26","null","null",
"1500000US530330010001","Block Group 1, Census Tract 10, King County, Washington","1040","189","null","null","464","93","null","null","415","null","192","null","0","null","12","null","118","85","null","null","0","null","12","null","18","20","null","null","25","null","21","null","0","null","12","null","25","21","null","null",
"1500000US530330010002","Block Group 2, Census Tract 10, King County, Washington","1054","127","null","null","708","114","null","null","69","null","63","null","5","null","7","null","91","45","null","null","0","null","12","null","30","48","null","null","151","null","67","null","7","null","12","null","144","67","null","null",
"1500000US530330011001","Block Group 1, Census Tract 11, King County, Washington","1161","312","null","null","783","194","null","null","56","null","85","null","0","null","12","null","231","197","null","null","0","null","12","null","0","12","null","null","91","null","91","null","0","null","12","null","91","91","null","null",
