"GEO_ID","NAME","B02001_001E","B02001_001EA","B02001_001M","B02001_001MA","B02001_002E","B02001_002M","B02001_002MA","B02001_002EA","B02001_003E","B02001_003M","B02001_003MA","B02001_003EA","B02001_004E","B02001_004M","B02001_004MA","B02001_004EA","B02001_005E","B02001_005M","B02001_005MA","B02001_005EA","B02001_006E","B02001_006EA","B02001_006M","B02001_006MA","B02001_007E","B02001_007EA","B02001_007M","B02001_007MA","B02001_008E","B02001_008M","B02001_008MA","B02001_008EA","B02001_009E","B02001_009M","B02001_009MA","B02001_009EA","B02001_010E","B02001_010M","B02001_010MA","B02001_010EA",
"Geography","Geographic Area Name","Estimate!!Total","Annotation of Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Estimate!!Total!!White alone","Margin of Error!!Total!!White alone","Annotation of Margin of Error!!Total!!White alone","Annotation of Estimate!!Total!!White alone","Estimate!!Total!!Black or African American alone","Margin of Error!!Total!!Black or African American alone","Annotation of Margin of Error!!Total!!Black or African American alone","Annotation of Estimate!!Total!!Black or African American alone","Estimate!!Total!!American Indian and Alaska Native alone","Margin of Error!!Total!!American Indian and Alaska Native alone","Annotation of Margin of Error!!Total!!American Indian and Alaska Native alone","Annotation of Estimate!!Total!!American Indian and Alaska Native alone","Estimate!!Total!!Asian alone","Margin of Error!!Total!!Asian alone","Annotation of Margin of Error!!Total!!Asian alone","Annotation of Estimate!!Total!!Asian alone","Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Annotation of Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Annotation of Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Some other race alone","Annotation of Estimate!!Total!!Some other race alone","Margin of Error!!Total!!Some other race alone","Annotation of Margin of Error!!Total!!Some other race alone","Estimate!!Total!!Two or more races","Margin of Error!!Total!!Two or more races","Annotation of Margin of Error!!Total!!Two or more races","Annotation of Estimate!!Total!!Two or more races","Estimate!!Total!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Two or more races!!Two races including Some other race","Annotation of Margin of Error!!Total!!Two or more races!!Two races including Some other race","Annotation of Estimate!!Total!!Two or more races!!Two races including Some other race","Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Annotation of Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Annotation of Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races",
"1500000US530330001001","Block Group 1, Census Tract 1, King County, Washington","1248","null","258","null","1139","251","null","null","8","60","null","null","16","25","null","null","58","67","null","null","0","null","12","null","0","null","12","null","27","32","null","null","13","22","null","null","14","23","null","null",
"1500000US530330001002","Block Group 2, Census Tract 1, King County, Washington","1336","null","337","null","730","208","null","null","319","245","null","null","0","12","null","null","111","97","null","null","108","null","157","null","0","null","12","null","68","60","null","null","0","12","null","null","68","60","null","null",
"1500000US530330001003","Block Group 3, Census Tract 1, King County, Washington","1785","null","413","null","1154","366","null","null","165","136","null","null","0","12","null","null","226","140","null","null","14","null","22","null","101","null","90","null","125","84","null","null","0","12","null","null","125","84","null","null",
"1500000US530330001004","Block Group 4, Census Tract 1, King County, Washington","1953","null","444","null","706","217","null","null","518","233","null","null","35","56","null","null","208","156","null","null","0","null","12","null","215","null","217","null","271","271","null","null","51","65","null","null","220","213","null","null",
"1500000US530330001005","Block Group 5, Census Tract 1, King County, Washington","939","null","221","null","708","189","null","null","0","12","null","null","9","15","null","null","164","127","null","null","0","null","12","null","30","null","35","null","28","34","null","null","0","12","null","null","28","34","null","null",
"1500000US530330002001","Block Group 1, Census Tract 2, King County, Washington","1032","null","290","null","757","266","null","null","0","12","null","null","0","12","null","null","196","170","null","null","0","null","12","null","0","null","12","null","79","96","null","null","0","12","null","null","79","96","null","null",
"1500000US530330002002","Block Group 2, Census Tract 2, King County, Washington","1061","null","411","null","518","191","null","null","213","325","null","null","0","12","null","null","184","104","null","null","0","null","12","null","79","null","95","null","67","98","null","null","0","12","null","null","67","98","null","null",
"1500000US530330002003","Block Group 3, Census Tract 2, King County, Washington","1601","null","300","null","965","244","null","null","236","248","null","null","73","118","null","null","281","168","null","null","0","null","12","null","0","null","12","null","46","45","null","null","0","12","null","null","46","45","null","null",
"1500000US530330002004","Block Group 4, Census Tract 2, King County, Washington","1126","null","262","null","503","142","null","null","25","35","null","null","0","12","null","null","503","259","null","null","0","null","12","null","1","null","4","null","94","82","null","null","0","12","null","null","94","82","null","null",
