"GEO_ID","NAME","B02001_001E","B02001_001M","B02001_001MA","B02001_001EA","B02001_002E","B02001_002M","B02001_002MA","B02001_002EA","B02001_003E","B02001_003M","B02001_003MA","B02001_003EA","B02001_004E","B02001_004M","B02001_004MA","B02001_004EA","B02001_005E","B02001_005EA","B02001_005M","B02001_005MA","B02001_006E","B02001_006M","B02001_006MA","B02001_006EA","B02001_007E","B02001_007M","B02001_007MA","B02001_007EA","B02001_008E","B02001_008EA","B02001_008M","B02001_008MA","B02001_009E","B02001_009M","B02001_009MA","B02001_009EA","B02001_010E","B02001_010EA","B02001_010M","B02001_010MA",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Annotation of Estimate!!Total","Estimate!!Total!!White alone","Margin of Error!!Total!!White alone","Annotation of Margin of Error!!Total!!White alone","Annotation of Estimate!!Total!!White alone","Estimate!!Total!!Black or African American alone","Margin of Error!!Total!!Black or African American alone","Annotation of Margin of Error!!Total!!Black or African American alone","Annotation of Estimate!!Total!!Black or African American alone","Estimate!!Total!!American Indian and Alaska Native alone","Margin of Error!!Total!!American Indian and Alaska Native alone","Annotation of Margin of Error!!Total!!American Indian and Alaska Native alone","Annotation of Estimate!!Total!!American Indian and Alaska Native alone","Estimate!!Total!!Asian alone","Annotation of Estimate!!Total!!Asian alone","Margin of Error!!Total!!Asian alone","Annotation of Margin of Error!!Total!!Asian alone","Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Annotation of Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Annotation of Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Some other race alone","Margin of Error!!Total!!Some other race alone","Annotation of Margin of Error!!Total!!Some other race alone","Annotation of Estimate!!Total!!Some other race alone","Estimate!!Total!!Two or more races","Annotation of Estimate!!Total!!Two or more races","Margin of Error!!Total!!Two or more races","Annotation of Margin of Error!!Total!!Two or more races","Estimate!!Total!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Two or more races!!Two races including Some other race","Annotation of Margin of Error!!Total!!Two or more races!!Two races including Some other race","Annotation of Estimate!!Total!!Two or more races!!Two races including Some other race","Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Annotation of Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Annotation of Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races",
"1500000US530330001001","Block Group 1, Census Tract 1, King County, Washington","1265","270","null","null","1110","277","null","null","0","12","null","null","12","19","null","null","97","null","81","null","0","12","null","null","0","12","null","null","46","null","44","null","9","22","null","null","37","null","39","null",
"1500000US530330001002","Block Group 2, Census Tract 1, King County, Washington","1534","412","null","null","870","241","null","null","280","254","null","null","0","12","null","null","118","null","95","null","91","127","null","null","0","12","null","null","175","null","126","null","0","12","null","null","175","null","126","null",
"1500000US530330001003","Block Group 3, Census Tract 1, King County, Washington","1817","437","null","null","1151","397","null","null","198","178","null","null","0","12","null","null","246","null","164","null","0","12","null","null","109","97","null","null","113","null","87","null","0","12","null","null","113","null","87","null",
"1500000US530330001004","Block Group 4, Census Tract 1, King County, Washington","2270","468","null","null","788","228","null","null","636","245","null","null","41","63","null","null","319","null","163","null","0","12","null","null","189","245","null","null","297","null","300","null","55","70","null","null","242","null","238","null",
"1500000US530330001005","Block Group 5, Census Tract 1, King County, Washington","1077","236","null","null","698","215","null","null","45","72","null","null","12","18","null","null","266","null","168","null","0","12","null","null","29","34","null","null","27","null","34","null","0","12","null","null","27","null","34","null",
"1500000US530330002001","Block Group 1, Census Tract 2, King County, Washington","1183","320","null","null","1007","330","null","null","31","52","null","null","0","12","null","null","88","null","103","null","0","12","null","null","0","12","null","null","57","null","91","null","0","12","null","null","57","null","91","null",
"1500000US530330002002","Block Group 2, Census Tract 2, King County, Washington","908","248","null","null","584","184","null","null","0","12","null","null","0","12","null","null","191","null","106","null","0","12","null","null","62","73","null","null","71","null","107","null","0","12","null","null","71","null","107","null",
"1500000US530330002003","Block Group 3, Census Tract 2, King County, Washington","1766","333","null","null","980","266","null","null","275","248","null","null","81","129","null","null","318","null","188","null","0","12","null","null","0","12","null","null","112","null","91","null","20","33","null","null","92","null","84","null",
"1500000US530330002004","Block Group 4, Census Tract 2, King County, Washington","1130","293","null","null","576","177","null","null","23","30","null","null","0","12","null","null","434","null","278","null","0","12","null","null","1","3","null","null","96","null","87","null","0","12","null","null","96","null","87","null",
"1500000US530330002005","Block Group 5, Census Tract 2, King County, Washington","1594","354","null","null","1174","280","null","null","16","25","null","null","0","12","null","null","121","null","84","null","0","12","null","null","175","249","null","null","108","null","105","null","0","12","null","null","108","null","105","null",
"1500000US530330002006","Block Group 6, Census Tract 2, King County, Washington","1392","318","null","null","1104","298","null","null","0","12","null","null","23","53","null","null","154","null","177","null","0","12","null","null","16","27","null","null","95","null","81","null","0","12","null","null","95","null","81","null",
"1500000US530330003001","Block Group 1, Census Tract 3, King County, Washington","1255","201","null","null","1003","158","null","null","33","38","null","null","0","12","null","null","107","null","71","null","30","48","null","null","0","12","null","null","82","null","108","null","0","12","null","null","82","null","108","null",
"1500000US530330003002","Block Group 2, Census Tract 3, King County, Washington","1567","207","null","null","1148","176","null","null","113","81","null","null","0","12","null","null","207","null","111","null","0","12","null","null","0","12","null","null","99","null","67","null","15","23","null","null","84","null","62","null",
