"GEO_ID","NAME","B02001_001E","B02001_001EA","B02001_001M","B02001_001MA","B02001_002E","B02001_002M","B02001_002MA","B02001_002EA","B02001_003E","B02001_003EA","B02001_003M","B02001_003MA","B02001_004E","B02001_004EA","B02001_004M","B02001_004MA","B02001_005E","B02001_005M","B02001_005MA","B02001_005EA","B02001_006E","B02001_006M","B02001_006MA","B02001_006EA","B02001_007E","B02001_007EA","B02001_007M","B02001_007MA","B02001_008E","B02001_008EA","B02001_008M","B02001_008MA","B02001_009E","B02001_009EA","B02001_009M","B02001_009MA","B02001_010E","B02001_010EA","B02001_010M","B02001_010MA",
"Geography","Geographic Area Name","Estimate!!Total","Annotation of Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Estimate!!Total!!White alone","Margin of Error!!Total!!White alone","Annotation of Margin of Error!!Total!!White alone","Annotation of Estimate!!Total!!White alone","Estimate!!Total!!Black or African American alone","Annotation of Estimate!!Total!!Black or African American alone","Margin of Error!!Total!!Black or African American alone","Annotation of Margin of Error!!Total!!Black or African American alone","Estimate!!Total!!American Indian and Alaska Native alone","Annotation of Estimate!!Total!!American Indian and Alaska Native alone","Margin of Error!!Total!!American Indian and Alaska Native alone","Annotation of Margin of Error!!Total!!American Indian and Alaska Native alone","Estimate!!Total!!Asian alone","Margin of Error!!Total!!Asian alone","Annotation of Margin of Error!!Total!!Asian alone","Annotation of Estimate!!Total!!Asian alone","Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Annotation of Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Annotation of Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Some other race alone","Annotation of Estimate!!Total!!Some other race alone","Margin of Error!!Total!!Some other race alone","Annotation of Margin of Error!!Total!!Some other race alone","Estimate!!Total!!Two or more races","Annotation of Estimate!!Total!!Two or more races","Margin of Error!!Total!!Two or more races","Annotation of Margin of Error!!Total!!Two or more races","Estimate!!Total!!Two or more races!!Two races including Some other race","Annotation of Estimate!!Total!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Two or more races!!Two races including Some other race","Annotation of Margin of Error!!Total!!Two or more races!!Two races including Some other race","Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Annotation of Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Annotation of Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races",
"1500000US530330001001","Block Group 1, Census Tract 1, King County, Washington","1386","null","260","null","1221","250","null","null","0","null","12","null","13","null","20","null","93","74","null","null","0","12","null","null","0","null","12","null","59","null","49","null","21","null","25","null","38","null","45","null",
"1500000US530330001002","Block Group 2, Census Tract 1, King County, Washington","1615","null","417","null","811","213","null","null","258","null","282","null","0","null","12","null","172","117","null","null","133","165","null","null","15","null","25","null","226","null","147","null","0","null","12","null","226","null","147","null",
"1500000US530330001003","Block Group 3, Census Tract 1, King County, Washington","1579","null","294","null","911","196","null","null","132","null","129","null","0","null","12","null","302","175","null","null","0","12","null","null","75","null","81","null","159","null","100","null","0","null","12","null","159","null","100","null",
"1500000US530330001004","Block Group 4, Census Tract 1, King County, Washington","2277","null","443","null","893","243","null","null","708","null","222","null","46","null","62","null","257","155","null","null","0","12","null","null","14","null","20","null","359","null","314","null","59","null","73","null","300","null","249","null",
"1500000US530330001005","Block Group 5, Census Tract 1, King County, Washington","1128","null","249","null","709","201","null","null","47","null","77","null","11","null","18","null","302","153","null","null","0","12","null","null","28","null","32","null","31","null","36","null","0","null","12","null","31","null","36","null",
"1500000US530330002001","Block Group 1, Census Tract 2, King County, Washington","1176","null","386","null","972","337","null","null","69","null","110","null","0","null","12","null","91","113","null","null","0","12","null","null","0","null","12","null","44","null","71","null","0","null","12","null","44","null","71","null",
"1500000US530330002002","Block Group 2, Census Tract 2, King County, Washington","1146","null","341","null","623","196","null","null","126","null","179","null","0","null","12","null","261","131","null","null","0","12","null","null","43","null","73","null","93","null","108","null","0","null","12","null","93","null","108","null",
"1500000US530330002003","Block Group 3, Census Tract 2, King County, Washington","2124","null","461","null","939","289","null","null","468","null","320","null","245","null","305","null","281","184","null","null","0","12","null","null","82","null","129","null","109","null","87","null","19","null","31","null","90","null","81","null",
"1500000US530330002004","Block Group 4, Census Tract 2, King County, Washington","1011","null","253","null","661","191","null","null","24","null","29","null","0","null","12","null","237","176","null","null","0","12","null","null","1","null","3","null","88","null","82","null","0","null","12","null","88","null","82","null",
